Tag,Notes,English,Japanese,German,French,Spanish,Portuguese,Russian,Italian,Chinese (Traditional),Chinese (Simplified),Korean,Polish,Ukrainian,Dutch,Turkish
L_MASTER_NAME_ASURA,,Apok,アポク,Apok,Apok,Apok,Apok,Апок,Apok,阿波克,阿波克,아폭,Apok,Апок,Apok,Apok
L_MASTER_NAME_AUTOMATON,,Marcus,マーカス,Marcus,Marcus,Marcus,Marcus,Маркус,Marcus,馬庫斯,马库斯,마커스,Marcus,Маркус,Marcus,Marcus
L_MASTER_NAME_BANSHEE,,Shai,シャイ,Shai,Shai,Shai,Shai,Шай,Shai,夏伊,夏伊,샤이,Shai,Шай,Shai,Şay
L_MASTER_NAME_BARD,,Fitz,フィッツ,Fitz,Fitz,Fitz,Fitz,Фитц,Fitz,菲茲,菲茨,피츠,Fitz,Фітц,Fitz,Fitz
L_MASTER_NAME_BASILISK,,Searle,サール,Searle,Searle,Searle,Searle,Сёрл,Searle,瑟爾,瑟尔,설,Searle,Серл,Searle,Searle
L_MASTER_NAME_BAT,,Batley,バトリー,Batley,Batley,Batley,Batley,Бэтли,Batley,巴特利,巴特利,배틀리,Batley,Батлі,Batley,Batley
L_MASTER_NAME_OSSEIN,,Graft,接木,Graft,Greffe,Injerto,Enxerto,Привой,Innesto,嫁接,格雷福特,이식,Przeszczep,Прищеплення,Ent,Aşılama
L_MASTER_NAME_BROWNIE,,Buster,バスター,Buster,Buster,Destructor,Destruidor,Бастер,Buster,爆擊,巴斯特,버스터,Pogromca,Бастер,Buster,Buster
L_MASTER_NAME_CARBUNCLE,,Uncle Carb,アンクル・カーブ,Onkel Carb,Oncle Carb,Tío Carb,Tio Carb,Дядя Карб,Zio Carb,卡布叔叔,卡布叔叔,카브 아저씨,Wujek Carb,Дядько Карб,Oom Carb,Amca Carb
L_MASTER_NAME_CARNAGE,,Carnagor,カルナゴル,Carnagor,Carnagor,Carnagor,Carnagor,Карнагор,Carnagor,卡納戈爾,卡纳戈尔,카나고르,Carnagor,Карнагор,Carnagor,Carnagor
L_MASTER_NAME_CARVER,,Dice,ダイス,Würfel,Dés,Dados,Dados,Кости,Dadi,骰子,戴斯,주사위,Kości,Кубики,Dobbelstenen,Zar
L_MASTER_NAME_CENTAUR,,Shun,シュン,Shun,Shun,Shun,Shun,Шун,Shun,瞬,瞬,순,Unikaj,Шун,Mijden,Kaçın
L_MASTER_NAME_CERBERUS,,Yash,ヤシュ,Yash,Yash,Yash,Yash,Яш,Yash,亞許,亚什,야쉬,Yash,Яш,Yash,Yash
L_MASTER_NAME_CLUTCHER,,Gringer,グリンガー,Gringer,Gringer,Gringer,Gringer,Грингер,Gringer,格林傑,格林格,그링거,Gringer,Грінгер,Gringer,Gringer
L_MASTER_NAME_COCKATRICE,,Imba,インバ,Imba,Imba,Imba,Imba,Имба,Imba,超強,伊莫巴,임바,Imba,Імба,Imba,İmba
L_MASTER_NAME_CONCOCTION,,Milmind,ミルマインド,Milmind,Milmind,Milmind,Milmind,Милмайнд,Milmind,米爾心靈,米尔迈德,밀마인드,Milmind,Мілмайнд,Milmind,Milmind
L_MASTER_NAME_CRUNCHER,,Dimos,ディモス,Dimos,Dimos,Dimos,Dimos,Димос,Dimos,迪莫斯,迪莫斯,디모스,Dimos,Дімос,Dimos,Dimos
L_MASTER_NAME_CONSTRUCT,,Monos,モノス,Monos,Monos,Monos,Macacos,Монос,Monos,莫諾斯,莫诺斯,모노스,Monos,Монос,Monos,Monos
L_MASTER_NAME_CRUSADER,,Orlik,オーリク,Orlik,Orlik,Orlik,Orlik,Орлик,Orlik,奧利克,奥利克,올릭,Orlik,Орлик,Orlik,Orlik
L_MASTER_NAME_DEMIGOD,,Raylen,レイレン,Raylen,Raylen,Raylen,Raylen,Райлен,Raylen,雷倫,雷伦,레일렌,Raylen,Райлен,Raylen,Raylen
L_MASTER_NAME_DEVIL,,Ashton,アシュトン,Ashton,Ashton,Ashton,Ashton,Эштон,Ashton,艾希頓,阿什顿,애쉬튼,Ashton,Ештон,Ashton,Ashton
L_MASTER_NAME_DIABOLIC_HORDE,,Woovie,ウーヴィー,Woovie,Woovie,Woovie,Woovie,Вуви,Woovie,烏維,乌维,우비,Woovie,Вуві,Woovie,Woovie
L_MASTER_NAME_DJINN,,Connor,コナー,Connor,Connor,Connor,Connor,Коннор,Connor,康納,康纳,코너,Connor,Коннор,Connor,Connor
L_MASTER_NAME_DOOM_FORTRESS,,Malleville,マルヴィル,Malleville,Malleville,Malleville,Malleville,Маллевиль,Malleville,馬勒維爾,马勒维尔,말레빌,Malleville,Маллевіль,Malleville,Malleville
L_MASTER_NAME_DOOMGUARD,,Thesauram,テザラム,Thesauram,Thesauram,Tesauro,Tesauro,Тезаурум,Tesoro,寶藏庫,瑟沙雷姆,테사람,Skarbiec,Тезаурум,Thesaurus,Hazine
L_MASTER_NAME_DRAGON,,Niklas,ニクラス,Niklas,Niklas,Niklas,Niklas,Никлас,Niklas,尼克拉斯,尼克拉斯,니클라스,Niklas,Ніклас,Niklas,Niklas
L_MASTER_NAME_DRYAD,,Ryd,リド,Ryd,Ryd,Ryd,Ryd,Рид,Ryd,萊德,里德,리드,Ryd,Рід,Ryd,Ryd
L_MASTER_NAME_DUMPLING,,Gelotte,ジェロット,Gelotte,Gelotte,Gelotte,Gelotte,Гелотт,Gelotte,格洛特,盖洛特,젤로트,Gelotte,Гелотте,Gelotte,Gelotte
L_MASTER_NAME_EFREET,,Histor,ヒストル,Histor,Histor,Histor,Histor,Хистор,Histor,希斯托,希斯托,히스토르,Histor,Гістор,Histor,Histor
L_MASTER_NAME_EFT,,Heafy,ヘヴィ,Heafy,Heafy,Heafy,Heafy,Хеафи,Heafy,黑菲,黑菲,헤피,Heafy,Хеафі,Heafy,Heafy
L_MASTER_NAME_ELF,,Jesper,ジェスパー,Jesper,Jesper,Jesper,Jesper,Джеспер,Jesper,傑斯珀,杰斯珀,제스퍼,Jesper,Джеспер,Jesper,Jesper
L_MASTER_NAME_ENT,,Birch,バーチ,Birch,Bouleau,Abedul,Bétula,Береза,Betulla,樺木,比尔彻,자작나무,Brzoza,Береза,Berk,Huş
L_MASTER_NAME_FAMILIAR,,Bayaz,バヤズ,Bayaz,Bayaz,Bayaz,Bayaz,Баяз,Bayaz,巴亞茲,巴亚兹,바야즈,Bayaz,Баяз,Bayaz,Bayaz
L_MASTER_NAME_FIEND,,Arner,アーナー,Arner,Arner,Arner,Arner,Арнер,Arner,阿納,阿纳,아너,Arner,Арнер,Arner,Arner
L_MASTER_NAME_FORSAKEN,,Savine,サヴィン,Savine,Savine,Savine,Savine,Савин,Savine,薩維恩,萨维娜,세빈,Savine,Савіна,Savine,Savine
L_MASTER_NAME_GARGANTUAN,,Drust,ドラスト,Drust,Drust,Drust,Drust,Друст,Drust,德魯斯特,德鲁斯特,드러스트,Drust,Друст,Drust,Drust
L_MASTER_NAME_GARGOYLE,,Goliath,ゴーライアス,Goliath,Goliath,Goliat,Golias,Голиаф,Golia,巨人,高力亚斯,골리앗,Goliat,Голіаф,Goliath,Goliath
L_MASTER_NAME_GEMLING,,Queuebert,キューバート,Queuebert,Queuebert,Queuebert,Queuebert,Квьюберт,Queuebert,排隊伯特,凯尔伯特,큐버트,Queuebert,Квюберт,Queuebert,Queuebert
L_MASTER_NAME_GHOUL,,Glokta,グロクタ,Glokta,Glokta,Glokta,Glokta,Глокта,Glokta,格洛克塔,格洛克塔,글록타,Glokta,Глокта,Glokta,Glokta
L_MASTER_NAME_GIANT,,Gorst,ゴルスト,Gorst,Gorst,Gorst,Gorst,Горст,Gorst,戈斯特,戈斯特,고르스트,Gorst,Горст,Gorst,Gorst
L_MASTER_NAME_GOLEM,,"Orvus, Best Golemancer",オーヴァス、最高のゴーレム術師,"Orvus, Bester Golemmagier","Orvus, Meilleur Golémancien","Orvus, el Mejor Golemante","Orvus, Melhor Golemante","Орвус, Лучший Големант","Orvus, Miglior Golemante",奧維斯，最佳魔像師,奥维斯，最佳傀儡师,"오르부스, 최고의 골렘술사","Orvus, Najlepszy Golemanta","Орвус, Найкращий Големант","Orvus, Beste Golemmeester","Orvus, En İyi Golemci"
L_MASTER_NAME_GORGON,,Zola,ゾラ,Zola,Zola,Zola,Zola,Зола,Zola,佐拉,佐拉,졸라,Zola,Зола,Zola,Zola
L_MASTER_NAME_GRIFFON,,Gryffindor,グリフィンドール,Gryffindor,Gryffondor,Gryffindor,Grifinória,Гриффиндор,Grifondoro,葛萊芬多,格兰芬多,그리핀도르,Gryffindor,Ґрифіндор,Gryffindor,Gryffindor
L_MASTER_NAME_GRIMOIRE,,Lake,湖,Lake,Lac,Lago,Lago,Озеро,Lago,湖泊,瑞克,호수,Jezioro,Озеро,Meer,Göl
L_MASTER_NAME_HARPY,,Jerky,ジャーキー,Jerky,Viande séchée,Cecina,Carne Seca,Вяленое мясо,Carne secca,肉乾,寨克,육포,Suszona wołowina,В'ялене м'ясо,Gedroogd vlees,Kurutulmuş Et
L_MASTER_NAME_HEMOMANCER,,Luv,ラヴ,Luv,Amour,Amor,Amor,Любовь,Amore,愛,路弗,러브,Miłość,Кохання,Liefde,Aşk
L_MASTER_NAME_HOUND,,Bourbon,バーボン,Bourbon,Bourbon,Bourbon,Bourbon,Бурбон,Bourbon,波本威士忌,波尔邦,버번,Burbon,Бурбон,Bourbon,Burbon
L_MASTER_NAME_HUNTER,,Joe,ジョー,Joe,Joe,Joe,Joe,Джо,Joe,喬,乔,조,Joe,Джо,Joe,Joe
L_MASTER_NAME_IMLER,,Rathik,ラシク,Rathik,Rathik,Rathik,Rathik,Ратик,Rathik,拉席克,拉希克,라틱,Rathik,Ратік,Rathik,Rathik
L_MASTER_NAME_IMLING,,Tad,タド,Tad,Tad,Tad,Tad,Тэд,Tad,塔德,塔德,태드,Tad,Тед,Tad,Tad
L_MASTER_NAME_IMP,,Doctor Feelgood,ドクター・フィールグッド,Doctor Feelgood,Docteur Biendujour,Doctor Feelgood,Doutor Bem-Estar,Доктор Кайфовый,Dottor Benessere,妙手仁醫,妙手医生,닥터 필굿,Doktor Radość,Доктор Кайфгуд,Dokter Feelgood,Doktor İyihisset
L_MASTER_NAME_INQUISITOR,,Ridley,リドリー,Ridley,Ridley,Ridley,Ridley,Ридли,Ridley,雷德利,里德利,리들리,Ridley,Рідлі,Ridley,Ridley
L_MASTER_NAME_KOLOSS,,Umbri,アンブリ,Umbri,Umbri,Umbri,Umbri,Умбри,Umbri,暗影族,乌莫比尔,움브리,Umbri,Умбрі,Umbri,Umbri
L_MASTER_NAME_LEECH,,Vesh,ヴェシュ,Vesh,Vesh,Vesh,Vesh,Веш,Vesh,維許,维什,베쉬,Vesh,Веш,Vesh,Vesh
L_MASTER_NAME_LEPER,,Big Ed,ビッグ・エド,Großer Ed,Big Ed,Gran Ed,Grande Ed,Большой Эд,Big Ed,大艾德,大艾德,빅 에드,Wielki Ed,Великий Ед,Grote Ed,Koca Ed
L_MASTER_NAME_LICH,,The Reverend,牧師,Der Pfarrer,Le Révérend,El Reverendo,O Reverendo,Преподобный,Il Reverendo,牧師,教士,목사,Wielebny,Преподобний,De Dominee,Muhterem
L_MASTER_NAME_MANIAC,,Loid's Dad,ロイドの父,Loids Vater,Le père de Loid,Papá de Loid,Pai do Loid,Папа Лоида,Papà di Loid,洛伊德的爸爸,洛伊德的父亲,로이드의 아버지,Tata Loida,Батько Лоїда,Loids Vader,Loid'in Babası
L_MASTER_NAME_MANTICORE,,Reyson,レイソン,Reyson,Reyson,Reyson,Reyson,Рейсон,Reyson,雷森,雷森,레이슨,Reyson,Рейсон,Reyson,Reyson
L_MASTER_NAME_MASOCHIST,,Sceledrus,スケレドルス,Sceledrus,Sceledrus,Sceledrus,Sceledrus,Сцеледрус,Sceledrus,斯凱勒德魯斯,斯凯勒德鲁斯,스켈레드루스,Sceledrus,Скеледрус,Sceledrus,Sceledrus
L_MASTER_NAME_MIMIC,,Humanoid Kraynaks,ヒューマノイド・クレイナク,Humanoide Kraynaks,Kraynak Humanoïdes,Kraynaks Humanoides,Kraynaks Humanoides,Человекоподобные Крайнаки,Kraynaks Umanoidi,人形克雷納克族,人形克雷纳克斯,인간형 크레이낙,Humanoidalne Kraynaki,Людиноподібні Крайнаки,Humanoïde Kraynaks,İnsansı Kraynaklar
L_MASTER_NAME_SOULFLAYER,,Echtrois,エクトロワ,Echtrois,Echtrois,Echtrois,Echtrois,Эхтруа,Echtrois,艾克特洛伊斯,埃克特罗伊斯,에크트로이스,Echtrois,Ехтруа,Echtrois,Echtrois
L_MASTER_NAME_MINOTAUR,,Ogron,オグロン,Ogron,Ogron,Ogron,Ogron,Огрон,Ogron,奧格隆,奥格隆,오그론,Ogron,Огрон,Ogron,Ogron
L_MASTER_NAME_MITE,,Aliphar,アリファー,Aliphar,Aliphar,Aliphar,Aliphar,Алифар,Aliphar,阿利法爾,阿利法尔,알리파,Aliphar,Аліфар,Aliphar,Aliphar
L_MASTER_NAME_MUMMY,,Ixeor,イクセオル,Ixeor,Ixeor,Ixeor,Ixeor,Иксеор,Ixeor,伊克索爾,伊克索尔,익세오르,Ixeor,Іксеор,Ixeor,Ixeor
L_MASTER_NAME_NIX,,Ferra,フェラ,Ferra,Ferra,Ferra,Ferra,Ферра,Ferra,費拉,费拉,페라,Ferra,Ферра,Ferra,Ferra
L_MASTER_NAME_OCCULTIST,,Potrix,ポトリクス,Potrix,Potrix,Potrix,Potrix,Потрикс,Potrix,波特里克斯,波特里克斯,포트릭스,Potrix,Потрікс,Potrix,Potrix
L_MASTER_NAME_OPHAN,,Izor,イゾール,Izor,Izor,Izor,Izor,Изор,Izor,伊佐爾,伊佐尔,이조르,Izor,Ізор,Izor,Izor
L_MASTER_NAME_PARAGON,,Unaxx,ウナックス,Unaxx,Unaxx,Unaxx,Unaxx,Унакс,Unaxx,尤納克斯,尤纳克斯斯,우낙스,Unaxx,Унакс,Unaxx,Unaxx
L_MASTER_NAME_PHASE_WARRIOR,,Ewyn,エウィン,Ewyn,Ewyn,Ewyn,Ewyn,Эвин,Ewyn,伊溫,艾温,이윈,Ewyn,Евін,Ewyn,Ewyn
L_MASTER_NAME_PHOENIX,,Dazzess,ダゼス,Dazzess,Dazzess,Dazzess,Dazzess,Даззесс,Dazzess,達澤斯,达泽斯,다제스,Olśnienie,Даззесс,Verblinding,Kamaştırıcı
L_MASTER_NAME_PILWIZ,,Slash,斬る,Slash,Taillade,Tajo,Corte,Рубящий удар,Fendente,斬擊,斯拉涉,베기,Cięcie,Розріз,Slag,Kesme
L_MASTER_NAME_PIT_WORM,,Zinud,ジヌド,Zinud,Zinud,Zinud,Zinud,Зинуд,Zinud,辛努德,齐努德,지누드,Zinud,Зінуд,Zinud,Zinud
L_MASTER_NAME_PIT_WRAITH,,Brithyr,ブリサー,Brithyr,Brithyr,Brithyr,Brithyr,Бритир,Brithyr,布里瑟爾,布里瑟尔,브리시르,Brithyr,Брітір,Brithyr,Brithyr
L_MASTER_NAME_PLAGUE_DOCTOR,,Doctor Negative,ドクター・ネガティブ,Doktor Negativ,Docteur Négatif,Doctor Negativo,Doutor Negativo,Доктор Негатив,Dottor Negativo,負極博士,涅格提弗博士,닥터 네거티브,Doktor Negatyw,Доктор Негатив,Dokter Negatief,Doktor Negatif
L_MASTER_NAME_PRIEST,,Father Daddson,ファーザー・ダッドソン,Vater Daddson,Père Daddson,Padre Daddson,Padre Daddson,Отец Даддсон,Padre Daddson,達德森神父,达德森神父,대디슨 신부,Ojciec Daddson,Отець Дедсон,Vader Daddson,Baba Daddson
L_MASTER_NAME_RAVEN,,Dyvys,ディヴィス,Dyvys,Dyvys,Dyvys,Dyvys,Дивис,Dyvys,迪維斯,迪维斯,디비스,Dyvys,Дивись,Dyvys,Dyvys
L_MASTER_NAME_REAPER,,Brindrid,ブリンドリッド,Brindrid,Brindrid,Brindrid,Brindrid,Бриндрид,Brindrid,布林德里德,布林德里德,브린드리드,Brindrid,Бріндрід,Brindrid,Brindrid
L_MASTER_NAME_REVENANT,,Brashen,ブラシェン,Brashen,Brashen,Brashen,Brashen,Брашен,Brashen,布拉申,布拉申,브라센,Brashen,Брашен,Brashen,Brashen
L_MASTER_NAME_RIFT_DANCER,,Zarveo,ザルヴェオ,Zarveo,Zarveo,Zarveo,Zarveo,Зарвео,Zarveo,札維歐,扎维奥,자르베오,Zarveo,Зарвео,Zarveo,Zarveo
L_MASTER_NAME_SALAMANDER,,Jaytir,ジェイティア,Jaytir,Jaytir,Jaytir,Jaytir,Джейтир,Jaytir,傑提爾,杰提尔,제이티르,Jaytir,Джейтір,Jaytir,Jaytir
L_MASTER_NAME_SANCTUS,,Edo,江戸,Edo,Edo,Edo,Edo,Эдо,Edo,江戶,伊多,에도,Edo,Едо,Edo,Edo
L_MASTER_NAME_SATYR,,Henrick,ヘンリック,Henrick,Henrick,Henrick,Henrick,Хенрик,Henrick,亨瑞克,亨里克,헨릭,Henrick,Генрік,Henrick,Henrick
L_MASTER_NAME_SEA_SHAMBLER,,Stark,スターク,Stark,Stark,Stark,Stark,Старк,Stark,史塔克,斯塔克,스타크,Stark,Старк,Stark,Stark
L_MASTER_NAME_SERAPH,,Irinth,イリンス,Irinth,Irinth,Irinth,Irinth,Иринт,Irinth,伊琳絲,伊林斯,이린스,Irinth,Ірінт,Irinth,Irinth
L_MASTER_NAME_SHADE,,Mort,モート,Mort,Mort,Mort,Morte,Морт,Mort,莫特,莫特,모트,Mort,Морт,Dood,Ölüm
L_MASTER_NAME_SHADOW,,Roland,ローランド,Roland,Roland,Roland,Roland,Роланд,Roland,羅蘭,罗兰,롤랜드,Roland,Роланд,Roland,Roland
L_MASTER_NAME_SHAPESHIFTER,,Rensole,レンソル,Rensole,Rensole,Rensole,Rensole,Ренсоул,Rensole,倫索爾,伦索尔,렌솔,Rensole,Ренсоул,Rensole,Rensole
L_MASTER_NAME_SIN,,Damien,ダミアン,Damien,Damien,Damien,Damien,Дэмиен,Damien,達米恩,达米恩,데미언,Damien,Даміен,Damien,Damien
L_MASTER_NAME_SIREN,,Anders,アンダース,Anders,Anders,Anders,Anders,Андерс,Anders,安德斯,安德斯,안더스,Anders,Андерс,Anders,Anders
L_MASTER_NAME_SKELETON,,Axl,アクスル,Axl,Axl,Axl,Axl,Аксл,Axl,艾克索,阿克斯尔,액슬,Axl,Аксл,Axl,Axl
L_MASTER_NAME_SLIME,,Slippy,スリッピー,Rutschig,Glissant,Resbaladizo,Escorregadio,Скользкий,Scivoloso,滑溜,斯利皮,미끄러운,Śliski,Слизький,Glibberig,Kaygan
L_MASTER_NAME_SMITH,,Olof,オロフ,Olof,Olof,Olof,Olof,Олоф,Olof,奧洛夫,奥洛夫,올로프,Olof,Олоф,Olof,Olof
L_MASTER_NAME_SMOG,,Menos,メノス,Menos,Menos,Menos,Menos,Менос,Menos,梅諾斯,梅诺斯,메노스,Menos,Менос,Menos,Menos
L_MASTER_NAME_SNAPTRAP,,Torne,トルネ,Torne,Torne,Torne,Torne,Торне,Torne,托恩,托恩,토르네,Torne,Торне,Torne,Torne
L_MASTER_NAME_SPARKTAIL,,Phan,ファン,Phan,Phan,Phan,Phan,Фан,Phan,范,凡,판,Phan,Фан,Phan,Phan
L_MASTER_NAME_SPECTRE,,Remane,リネーム,Remane,Renommer,Renombrar,Renomear,Переименовать,Rinomina,重命名,雷曼尼,이름 변경,Zmień nazwę,Перейменувати,Hernoemen,Yeniden Adlandır
L_MASTER_NAME_SPHINX,,Leonault,レオノルト,Leonault,Leonault,Leonault,Leonault,Леонольт,Leonault,雷諾特,莱诺特,레오놀트,Leonault,Леонольт,Leonault,Leonault
L_MASTER_NAME_SPIRIT,,Muse,ミューズ,Muse,Muse,Musa,Musa,Муза,Musa,繆思,缪斯,뮤즈,Muza,Муза,Muze,İlham Perisi
L_MASTER_NAME_STAG,,Folo,フォロ,Folo,Folo,Folo,Folo,Фоло,Folo,福羅,福洛,폴로,Folo,Фоло,Folo,Folo
L_MASTER_NAME_STORM,,Stromblad,ストロムブラッド,Stromblad,Stromblad,Stromblad,Stromblad,Стромблад,Stromblad,風刃,斯特龙布拉德,스트롬블라드,Stromblad,Стромблад,Stromblad,Stromblad
L_MASTER_NAME_TOXDWELLER,,Aener,エイナー,Aener,Aener,Aener,Aener,Аэнер,Aener,艾納,艾纳,에이너,Aener,Аенер,Aener,Aener
L_MASTER_NAME_TREMOR,,Delice,デリス,Delice,Délice,Delicia,Delice,Делис,Delizia,德莉絲,德莱斯,델리스,Delice,Насолода,Delice,Madness
L_MASTER_NAME_TROLL,,Karm,カーム,Karm,Karm,Karm,Karm,Карм,Karm,卡姆,卡姆,카름,Karm,Карм,Karm,Karm
L_MASTER_NAME_UNGUIDED,,Sjunnesson,シュンネソン,Sjunnesson,Sjunnesson,Sjunnesson,Sjunnesson,Шуннессон,Sjunnesson,舒內森,舒内松,Sjunnesson,Sjunnesson,Шуннессон,Sjunnesson,Sjunnesson
L_MASTER_NAME_UNICORN,,Vitali,ヴィタリ,Vitali,Vitali,Vitali,Vitali,Витали,Vitali,維塔利,维塔利,비탈리,Vitali,Віталій,Vitali,Vitali
L_MASTER_NAME_VALKYRIE,,Althea,アルテア,Althea,Althea,Althea,Althea,Альтея,Althea,阿爾西亞,阿尔西娅,알테아,Althea,Альтея,Althea,Althea
L_MASTER_NAME_VOIDLORD,,Shuulmoth,シュールモス,Shuulmoth,Shuulmoth,Shuulmoth,Shuulmoth,Шуульмот,Shuulmoth,舒爾莫斯,舒尔莫斯,슐모스,Shuulmoth,Шуульмот,Shuulmoth,Shuulmoth
L_MASTER_NAME_VORTEX,,Breeze,そよ風,Breeze,Brise,Brisa,Brisa,Бриз,Brezza,微風,布瑞泽,미풍,Podmuch,Бриз,Bries,Esinti
L_MASTER_NAME_VULPES,,Benedict,ベネディクト,Benedict,Benedict,Benedict,Benedict,Бенедикт,Benedict,班尼迪克特,本尼迪克特,베네딕트,Benedict,Бенедикт,Benedict,Benedict
L_MASTER_NAME_WASPID,,Auran,オーラン,Auran,Auran,Auran,Auran,Ауран,Auran,奧蘭,奥兰,아우란,Auran,Ауран,Auran,Auran
L_MASTER_NAME_WATCHER,,Seuzan,スーザン,Seuzan,Seuzan,Seuzan,Seuzan,Сеузан,Seuzan,蘇贊,苏赞,수잔,Seuzan,Сеузан,Seuzan,Seuzan
L_MASTER_NAME_WIGHT,,Jawack,ジャワック,Jawack,Jawack,Jawack,Jawack,Джавак,Jawack,賈瓦克,贾瓦克,자왁,Jawack,Джавак,Jawack,Jawack
L_MASTER_NAME_WISP,,Verdun,ヴェルダン,Verdun,Verdun,Verdun,Verdun,Верден,Verdun,凡爾登,凡尔登,베르덩,Verdun,Верден,Verdun,Verdun
L_MASTER_NAME_WOLPERTINGER,,Nimet,ニメット,Nimet,Nimet,Nimet,Nimet,Нимет,Nimet,尼梅特,尼梅特,니멧,Nimet,Німет,Nimet,Nimet
L_MASTER_NAME_WYVERN,,Therron,セロン,Therron,Therron,Therron,Therron,Террон,Therron,瑟隆,塞隆,테론,Therron,Террон,Therron,Therron
L_MASTER_NAME_YETI,,Bjorn,ビョルン,Bjorn,Bjorn,Bjorn,Bjorn,Бьорн,Bjorn,比約恩,比约恩,비욘,Bjorn,Бйорн,Bjorn,Bjorn
L_MASTER_NAME_ANIMATION,,Obert,オベルト,Obert,Obert,Obert,Obert,Оберт,Obert,奧伯特,奥伯特,오버트,Obert,Оберт,Obert,Obert
L_MASTER_NAME_ARBITER,,Clovis,クロヴィス,Clovis,Clovis,Clovis,Clovis,Кловис,Clovis,克洛維斯,克洛维斯,클로비스,Clovis,Кловіс,Clovis,Clovis
L_MASTER_NAME_BEACON,,Pepi,ペピ,Pepi,Pepi,Pepi,Pepi,Пепи,Pepi,佩皮,佩皮,페피,Pepi,Пепі,Pepi,Pepi
L_MASTER_NAME_CHERUB,,Claas,クラース,Claas,Claas,Claas,Claas,Клаас,Claas,克拉斯,克拉斯,클라스,Claas,Клаас,Claas,Claas
L_MASTER_NAME_CHIMERA,,Bekhud,ベクフド,Bekhud,Bekhud,Bekhud,Bekhud,Бехуд,Bekhud,貝庫德,贝库德,베쿠드,Bekhud,Бехуд,Bekhud,Bekhud
L_MASTER_NAME_CLOCKWORK,,Aizur,アイザー,Aizur,Aizur,Aizur,Aizur,Айзур,Aizur,艾祖爾,艾祖尔,아이주르,Aizur,Айзур,Aizur,Aizur
L_MASTER_NAME_ELECTROPOD,,Gren,グレン,Gren,Gren,Gren,Gren,Грен,Gren,格倫,格伦,그렌,Gren,Ґрен,Gren,Gren
L_MASTER_NAME_FAE,,Sylphe,シルフ,Sylphe,Sylphe,Sylphe,Sylphe,Сильфа,Sylphe,希爾芙,希尔芙,실프,Sylphe,Сильфа,Sylphe,Sylphe
L_MASTER_NAME_KRAKEN,,Wim,ウィム,Wim,Wim,Wim,Wim,Вим,Wim,威姆,维姆,윔,Wim,Вім,Wim,Wim
