Tag,Notes,English,Japanese,German,French,Spanish,Portuguese,Russian,Italian,Chinese (Traditional),Chinese (Simplified),Korean,Polish,Ukrainian,Dutch,Turkish
L_ACC_TELLURICAURA,,Telluric Aura,テルル性のオーラ,Tellurische Aura,Aura Tellurique,Aura Telúrica,Aura Telúrica,Теллурическая Аура,Aura Tellurica,地脈靈氣,大地光环,지각 오라,Aura Telluryczna,Телурична Аура,Tellurische Aura,Yersel Aura
L_ACC_TOXICAURA,,Toxic Aura,毒のオーラ,Toxische Aura,Aura Toxique,Aura Tóxica,Aura Tóxica,Токсичная Аура,Aura Tossica,毒氣靈氣,毒性光环,독성 오라,Toksyczna Aura,Токсична Аура,Giftige Aura,Zehirli Aura
L_ACC_UMBRALAURA,,Umbral Aura,アンブラルオーラ,Schattenaura,Aura Ombrale,Aura Umbral,Aura Sombria,Теневая Аура,Aura Ombrosa,幽影靈氣,暗影光环,그림자 오라,Mroczna Aura,Тіньова Аура,Schemeraura,Gölgesel Aura
L_ACC_ANTLERLONG,,Antler (Long),枝角（長）,Geweih (Lang),Bois de cerf (Long),Cornamenta (Larga),Chifre (Longo),Рога (Длинные),Corno (Lungo),鹿角（長）,鹿角（长）,뿔 (장),Poroże (Długie),Роги (Довгі),Gewei (Lang),Boynuz (Uzun)
L_ACC_ANTLERTALL,,Antler (Tall),アントラー（トール）,Geweih (Hoch),Bois de cerf (Haut),Cornamenta (Alta),Chifre (Alto),Рога (Высокие),Corna (Alte),鹿角（高）,鹿角（高）,뿔 (높은),Poroże (Wysokie),Роги (Високі),Gewei (Lang),Boynuz (Uzun)
L_ACC_BROADHORN,,Broad Horn,ブロードホーン,Breites Horn,Corne Large,Cuerno Ancho,Chifre Largo,Широкий Рог,Corno Largo,寬角,宽角,넓은 뿔,Szeroki Róg,Широкий Ріг,Brede Hoorn,Geniş Boynuz
L_ACC_BUFFALOHORN,,Buffalo Horn,バッファローホーン,Büffelhorn,Corne de Bison,Cuerno de Búfalo,Chifre de Búfalo,Рог буйвола,Corno di Bufalo,水牛角,水牛角,버팔로 뿔,Róg Bawoła,Ріг бізона,Buffelhoren,Bufalo Boynuzu
L_ACC_BULLHORN,,Bull Horn,ブルホーン,Stierhorn,Corne de Taureau,Cuerno de Toro,Chifre de Touro,Бычий Рог,Corno di Toro,牛角,公牛角,황소 뿔,Róg Byka,Бичачий Ріг,Stierhoorn,Boğa Boynuzu
L_ACC_DEMONHORN,,Demon Horn,悪魔の角,Dämonenhorn,Corne de démon,Cuerno de Demonio,Chifre de Demônio,Рог демона,Corno Demoniaco,惡魔之角,恶魔角,악마의 뿔,Róg Demona,Ріг Демона,Demonhoorn,İblis Boynuzu
L_ACC_DOEANTLER,,Doe Antler,鹿の角,Hirschgeweih,Bois de Biche,Asta de Ciervo,Chifre de Cervo,Олений Рог,Corno di Cerva,鹿角,雌鹿角,사슴 뿔,Poroże Łani,Оленячий Ріг,Hertgewei,Geyik Boynuzu
L_ACC_DRAGONHORN,,Dragon Horn,ドラゴンホーン,Drachenhorn,Corne de Dragon,Cuerno de Dragón,Chifre de Dragão,Драконий Рог,Corno di Drago,龍角,龙角,드래곤 뿔,Smoczy Róg,Ріг Дракона,Drakenhoorn,Ejderha Boynuzu
L_ACC_IBEXHORN,,Ibex Horn,イベックスの角,Steinbockhorn,Corne d'Ibex,Cuerno de Íbice,Chifre de Íbex,Рог горного козла,Corno di Stambecco,野山羊角,羱羊角,아이벡스 뿔,Róg koziorożca,Ріг ібекса,Steenbokhoorn,Dağ Keçisi Boynuzu
L_ACC_LITTLECURLHORN,,Little Curl Horn,リトルカールホーン,Kleines Lockenhorn,Petite Corne Bouclée,Pequeño Cuerno Rizado,Pequeno Chifre Encaracolado,Маленький Витой Рог,Piccolo Corno Ricurvo,小捲角,小卷角,작은 곱슬 뿔,Mały Zakręcony Róg,Маленький Закручений Ріг,Kleine Krulhoorn,Küçük Kıvrık Boynuz
L_ACC_LITTLENUBHORN,,Little Nub Horn,小さな突起の角,Kleines Knubbel-Horn,Petite Corne de Bourgeon,Cuernecito Pequeño,Chifrezinho Pequeno,Маленький Рожок Нуба,Piccolo Corno Smussato,小嫩角,小嫩角,작은 싹 뿔,Mały Róg Kikuta,Маленький Ріжок Нуба,Kleine Stompe Hoorn,Küçük Yumru Boynuz
L_ACC_LITTLEPOINTHORN,,Little Point Horn,リトルポイントホーン,Kleines Spitzhorn,Petite Corne Pointue,Cuerno de Punta Pequeña,Pequeno Chifre Pontiagudo,Маленький Рогатый Мыс,Piccolo Corno Appuntito,小角尖,小尖角,작은 뿔 곶,Mały Róg Punktowy,Маленький Гострий Ріг,Kleine Puntige Hoorn,Küçük Nokta Boynuz
L_ACC_RAMHORN,,Ram Horn,ラムホーン,Widderhorn,Corne de bélier,Cuerno de Carnero,Chifre de Carneiro,Бараний Рог,Corno di Ariete,公羊角,公羊角,숫양 뿔,Róg Barana,Баранячий Ріг,Ramshoorn,Koç Boynuzu
L_ACC_SATYRHORN,,Satyr Horn,サテュロスの角,Satyrhorn,Corne de Satyre,Cuerno de Sátiro,Chifre de Sátiro,Рог сатира,Corno di Satiro,薩提爾之角,萨堤尔角,사티로스 뿔,Róg Satyra,Ріг Сатира,Satyrhoorn,Satir Boynuzu
L_ACC_SPIRALHORN,,Spiral Horn,スパイラルホーン,Spiralhorn,Corne en spirale,Cuerno Espiral,Chifre Espiral,Спиральный Рог,Corno a Spirale,螺旋角,螺旋角,나선 뿔,Spiralny Róg,Спіральний Ріг,Spiraalhoorn,Spiral Boynuz
L_ACC_UNICORNHORN,,Unicorn Horn,ユニコーンの角,Einhornhorn,Corne de licorne,Cuerno de Unicornio,Chifre de Unicórnio,Рог единорога,Corno di Unicorno,獨角獸之角,独角兽角,유니콘 뿔,Róg jednorożca,Ріг єдинорога,Eenhoornhoorn,Tek Boynuz Boynuzu
L_ACC_SANTABEARD,,Santa Beard,サンタひげ,Weihnachtsmannbart,Barbe de Père Noël,Barba de Santa,Barba de Papai Noel,Борода Санты,Barba di Babbo Natale,聖誕老人鬍子,圣诞老人的胡子,산타 수염,Broda Świętego Mikołaja,Борода Санти,Kerstmansbaard,Noel Baba Sakalı
L_ACC_REINDEERANTLER,,Reindeer Antler,トナカイの角,Rentiergeweih,Bois de Renne,Asta de Reno,Chifre de Rena,Олений рог,Corno di Renna,馴鹿角,驯鹿角,순록 뿔,Poroże Renifera,Оленячий ріг,Rendiergewei,Ren Geyiği Boynuzu
L_ACC_SANTAHATGREEN,,Santa Hat (Green),サンタ帽子（緑）,Weihnachtsmütze (Grün),Bonnet de Père Noël (Vert),Gorro de Santa (Verde),Gorro de Papai Noel (Verde),Шапка Санты (Зелёная),Cappello di Babbo Natale (Verde),聖誕帽（綠色）,圣诞帽（绿）,산타 모자 (초록색),Czapka Mikołaja (Zielona),Шапка Санти (Зелена),Kerstmuts (Groen),Noel Baba Şapkası (Yeşil)
L_ACC_SANTAHATRED,,Santa Hat (Red),サンタ帽子（赤）,Weihnachtsmannmütze (Rot),Bonnet de Père Noël (Rouge),Gorro de Santa (Rojo),Gorro de Papai Noel (Vermelho),Шапка Санты (Красная),Cappello di Babbo Natale (Rosso),聖誕帽（紅色）,圣诞帽（红）,산타 모자 (빨강),Czapka Mikołaja (Czerwona),Шапка Санти (Червона),Kerstmuts (Rood),Noel Baba Şapkası (Kırmızı)
L_ACC_GIFTBOX,,Gift Box,ギフトボックス,Geschenkbox,Cadeau,Caja de Regalo,Caixa de Presente,Подарочная коробка,Scrigno dei Doni,禮物盒,礼盒,선물 상자,Skrzynia Prezentów,Подарункова скринька,Geschenkkist,Hediye Kutusu
L_ACC_SNOWMAN,,Snowman,雪だるま,Schneemann,Bonhomme de neige,Muñeco de nieve,Boneco de neve,Снеговик,Pupazzo di neve,雪人,雪人,눈사람,Bałwan,Сніговик,Sneeuwpop,Kardan Adam
L_ACC_SCARF,,Scarf,スカーフ,Schal,Écharpe,Bufanda,Cachecol,Шарф,Sciarpa,圍巾,围巾,스카프,Szalik,Шарф,Sjaal,Atkı
L_ACC_CANDYCANEGREEN,,Candy Cane (Green),キャンディケーン（緑）,Zuckerstange (Grün),Sucre d'orge (Vert),Bastón de Caramelo (Verde),Bengala Doce (Verde),Леденец (Зелёный),Bastoncino di Zucchero (Verde),糖果手杖（綠）,拐杖糖（绿）,사탕 지팡이 (초록),Laska Cukrowa (Zielona),Льодяна Паличка (Зелена),Zuurstok (Groen),Şeker Bastonu (Yeşil)
L_ACC_CANDYCANERED,,Candy Cane (Red),キャンディケーン（赤）,Zuckerstange (Rot),Sucette en Forme de Canne (Rouge),Bastón de Caramelo (Rojo),Bengala de Doce (Vermelha),Леденец (Красный),Bastoncino di Zucchero (Rosso),拐杖糖（紅色）,拐杖糖（红）,사탕 지팡이 (빨강),Laska Cukrowa (Czerwona),Льодяникова Паличка (Червона),Zuurstok (Rood),Şeker Bastonu (Kırmızı)
L_ACC_HOLLY,,Holly,ホリー,Holly,Houx,Holly,Holly,Холли,Agrifoglio,霍莉,冬青,홀리,Holly,Холлі,Holly,Holly
L_ACC_WREATH,,Wreath,リース,Kranz,Couronne,Corona,Coroa,Венок,Corona,花環,花环,화환,Wieniec,Вінок,Krans,Çelenk
L_ACC_WREATHHALF,,Wreath (Half),リース（半分）,Kranz (Halb),Couronne (Moitié),Corona (Media),Coroa (Metade),Венок (Половина),Corona (Metà),花環（半）,花环（半）,화환 (반쪽),Wieniec (Połowa),Вінок (Половина),Krans (Half),Çelenk (Yarım)
L_ACC_SNOWFLAKESMALL,,Snowflake (Small),スノーフレイク（小）,Schneeflocke (Klein),Flocon de neige (Petit),Copo de Nieve (Pequeño),Floco de Neve (Pequeno),Снежинка (Малая),Fiocco di Neve (Piccolo),雪花（小）,雪花（小）,눈송이 (소형),Płatek Śniegu (Mały),Сніжинка (Мала),Sneeuwvlok (Klein),Kar Tanesi (Küçük)
L_ACC_ELECTRICARC,,Electric Arc,エレクトリックアーク,Elektrischer Bogen,Arc électrique,Arco Eléctrico,Arco Elétrico,Электрическая дуга,Arco Elettrico,電弧,电弧,전기 방전,Łuk Elektryczny,Електрична дуга,Elektrische Boog,Elektrik Arkı
L_ACC_GHOSTLYFLAME,,Ghostly Flame,幽霊の炎,Geisterhafte Flamme,Flamme Spectrale,Llama Fantasmal,Chama Fantasmagórica,Призрачное Пламя,Fiamma Spettrale,幽靈之焰,幽灵火焰,유령의 불꽃,Upiorny Płomień,Примарне Полум'я,Spookachtige Vlam,Hayaletimsi Alev
L_ACC_ELECTROBALL,,Electroball,エレクトロボール,Elektrokugel,Électrosphère,Electrobola,Eletrobola,Электрошар,Elettrosfera,電球,闪电球,일렉트로볼,Elektrokula,Електрокуля,Elektrobal,Elektro Top
L_ACC_FIREWHOOSH,,Fire Whoosh,ファイアウォッシュ,Feuer-Wusch,Souffle de Feu,Ráfaga de Fuego,Rajada de Fogo,Огненный Свист,Sibilo di Fuoco,火焰呼嘯,呼呼火焰,화염 휙,Świst Ognia,Свист Вогню,Vuurzoef,Ateş Vınlaması
L_ACC_FLAME,,Flame,炎,Flamme,Flamme,Llama,Chama,Пламя,Fiamma,烈焰,烈焰,화염,Płomień,Полум'я,Vlam,Alev
L_ACC_SNOWFLAKELARGE,,Snowflake (Large),スノーフレイク（大）,Schneeflocke (Groß),Flocon de neige (Grand),Copo de Nieve (Grande),Floco de Neve (Grande),Снежинка (Большая),Fiocco di Neve (Grande),雪花（大）,雪花（大）,눈송이 (대형),Płatek Śniegu (Duży),Сніжинка (Велика),Sneeuwvlok (Groot),Kar Tanesi (Büyük)
L_ACC_GROUNDFIREBLUE,,Ground Fire (Blue),グランドファイア（青）,Bodenfeuer (Blau),Feu de Sol (Bleu),Fuego Terrestre (Azul),Fogo Terrestre (Azul),Огонь по Земле (Синий),Fuoco di Terra (Blu),地面之火（藍）,地火（蓝）,지면 화염 (파랑),Ogień Naziemny (Niebieski),Вогонь по Землі (Синій),Grondvuur (Blauw),Yer Ateşi (Mavi)
L_ACC_GROUNDFIRERED,,Ground Fire (Red),グランドファイア（赤）,Bodenfeuer (Rot),Feu de Sol (Rouge),Fuego Terrestre (Rojo),Fogo Terrestre (Vermelho),Огонь по Земле (Красный),Fuoco di Terra (Rosso),地面之火（紅）,地火（红）,지면 화염 (적색),Ogień Naziemny (Czerwony),Вогонь по Землі (Червоний),Grondvuur (Rood),Yer Ateşi (Kırmızı)
L_ACC_GROUNDFIREPURPLE,,Ground Fire (Purple),グランドファイア（紫）,Bodenfeuer (Lila),Feu de Sol (Violet),Fuego Terrestre (Púrpura),Fogo Terrestre (Roxo),Огонь по Земле (Фиолетовый),Fuoco Terreno (Viola),地面之火（紫）,地火（紫）,지면 화염 (보라색),Ogień Naziemny (Fioletowy),Вогонь по Землі (Фіолетовий),Grondvuur (Paars),Yer Ateşi (Mor)
L_ACC_SPARKLESBLUE,,Sparkles (Blue),スパークル（青）,Funken (Blau),Étincelles (Bleu),Destellos (Azul),Brilhos (Azul),Искры (Синие),Scintille (Blu),閃光 (藍),闪光（蓝）,반짝임 (파란색),Iskierki (Niebieskie),Іскри (Сині),Fonkelingen (Blauw),Parıltılar (Mavi)
L_ACC_SPARKLESGREEN,,Sparkles (Green),スパークル（緑）,Funken (Grün),Étincelles (Vert),Destellos (Verde),Brilhos (Verde),Искры (Зелёные),Scintille (Verde),閃光 (綠色),闪光（绿）,반짝임 (초록),Iskierki (Zielone),Іскри (Зелені),Fonkelingen (Groen),Parıltılar (Yeşil)
L_ACC_SPARKLESPURPLE,,Sparkles (Purple),スパークル（紫）,Funken (Lila),Étincelles (Violet),Destellos (Púrpura),Brilhos (Roxo),Искры (Фиолетовые),Scintille (Viola),閃光 (紫色),闪光（紫）,반짝임 (보라색),Iskierki (Fioletowe),Іскри (Фіолетові),Fonkelingen (Paars),Parıltılar (Mor)
L_ACC_SPARKLESRED,,Sparkles (Red),スパークル（赤）,Funken (Rot),Étincelles (Rouge),Destellos (Rojo),Brilhos (Vermelho),Искры (Красные),Scintille (Rosso),閃光 (紅),闪光（红）,반짝임 (빨강),Iskierki (Czerwone),Іскри (Червоні),Fonkelingen (Rood),Kıvılcımlar (Kırmızı)
L_ACC_SPARKLESYELLOW,,Sparkles (Yellow),キラキラ（黄色）,Funken (Gelb),Étincelles (Jaune),Destellos (Amarillo),Brilhos (Amarelo),Искры (Жёлтые),Scintille (Gialle),閃光（黃色）,闪光（黄）,반짝임 (노란색),Iskierki (Żółte),Іскри (Жовті),Fonkelingen (Geel),Parıltılar (Sarı)
L_ACC_BLINDFOLD,,Blindfold,目隠し,Augenbinde,Bandeau,Venda,Venda,Повязка на глаза,Benda,眼罩,眼罩,눈가리개,Opaska na oczy,Пов'язка на очі,Blinddoek,Göz Bandı
L_ACC_BULGINGEYE,,Bulging Eye,膨らんだ目,Hervortretendes Auge,Œil exorbité,Ojo Saltón,Olho Saltado,Выпученный глаз,Occhio Sporgente,凸眼,凸出的眼睛,불거진 눈,Wybałuszone Oko,Опуклі Очі,Uitpuilend Oog,Pörtlek Göz
L_ACC_EYEPATCH,,Eye Patch,眼帯,Augenklappe,Cache-œil,Parche de Ojo,Tapa-olho,Повязка на глаз,Benda per l'occhio,眼罩,眼罩,안대,Opaska na oko,Пов'язка на око,Ooglapje,Göz Bandı
L_ACC_GLASSES,,Glasses,メガネ,Brille,Lunettes,Gafas,Óculos,Очки,Occhiali,眼鏡,眼镜,안경,Okulary,Окуляри,Bril,Gözlük
L_ACC_GLOWINGEYEBLUE,,Glowing Eye (Blue),輝く目（青）,Leuchtendes Auge (Blau),Œil Luisant (Bleu),Ojo Brillante (Azul),Olho Brilhante (Azul),Светящийся глаз (Синий),Occhio Luminoso (Blu),發光的眼睛（藍色）,燃焰之眼（蓝）,빛나는 눈 (파란색),Świecące Oko (Niebieskie),Сяюче Око (Синє),Gloeiend Oog (Blauw),Parlayan Göz (Mavi)
L_ACC_GLOWINGEYEGREEN,,Glowing Eye (Green),輝く目（緑）,Leuchtendes Auge (Grün),Œil Luisant (Vert),Ojo Brillante (Verde),Olho Brilhante (Verde),Светящийся глаз (зелёный),Occhio Luminoso (Verde),發光的眼睛（綠色）,燃焰之眼（绿）,빛나는 눈 (초록),Świecące Oko (Zielone),Сяюче Око (Зелене),Gloeiend Oog (Groen),Parlayan Göz (Yeşil)
L_ACC_GLOWINGEYEPURPLE,,Glowing Eye (Purple),輝く目（紫）,Leuchtendes Auge (Lila),Œil Luisant (Violet),Ojo Brillante (Púrpura),Olho Brilhante (Roxo),Светящийся глаз (Фиолетовый),Occhio Luminoso (Viola),發光的眼睛（紫色）,燃焰之眼（紫）,빛나는 눈 (보라색),Świecące Oko (Fioletowe),Сяюче Око (Фіолетове),Gloeiend Oog (Paars),Parlayan Göz (Mor)
L_ACC_GLOWINGEYERED,,Glowing Eye (Red),輝く目（赤）,Leuchtendes Auge (Rot),Œil Luisant (Rouge),Ojo Brillante (Rojo),Olho Brilhante (Vermelho),Светящийся глаз (красный),Occhio Luminoso (Rosso),發光的眼睛（紅）,燃焰之眼（红）,빛나는 눈 (빨강),Świecące Oko (Czerwone),Сяюче Око (Червоне),Gloeiend Oog (Rood),Parlayan Göz (Kırmızı)
L_ACC_GLOWINGEYEYELLOW,,Glowing Eye (Yellow),輝く目（黄色）,Leuchtendes Auge (Gelb),Œil Luisant (Jaune),Ojo Brillante (Amarillo),Olho Brilhante (Amarelo),Светящийся глаз (Жёлтый),Occhio Luminoso (Giallo),發光的眼睛（黃色）,燃焰之眼（黄）,빛나는 눈 (노란색),Świecące Oko (Żółte),Сяюче Око (Жовте),Gloeiend Oog (Geel),Parlayan Göz (Sarı)
L_ACC_GOGGLES,,Goggles,ゴーグル,Schutzbrille,Lunettes,Gafas,Óculos de Proteção,Очки,Occhiali protettivi,護目鏡,护目镜,고글,Gogle,Окуляри,Bril,Gözlük
L_ACC_MONOCLE,,Monocle,単眼鏡,Monokel,Monocle,Monóculo,Monóculo,Монокль,Monocolo,單片眼鏡,单片眼镜,단안경,Monokl,Монокль,Monocle,Monokl
L_ACC_MYSTICEYE,,Mystic Eye,神秘の眼,Mystisches Auge,Œil Mystique,Ojo Místico,Olho Místico,Мистический Глаз,Occhio Mistico,神秘之眼,神秘之眼,신비한 눈,Mistyczne Oko,Містичне Око,Mystiek Oog,Mistik Göz
L_ACC_RIDICULOUSSHADES,,Ridiculous Shades,突拍子もないサングラス,Lächerliche Sonnenbrille,Lunettes Ridicules,Gafas Ridículas,Óculos Ridículos,Нелепые Очки,Occhiali Ridicoli,荒謬眼鏡,滑稽的墨镜,우스꽝스러운 선글라스,Absurdalne Okulary,Безглузді Окуляри,Belachelijke Zonnebril,Saçma Gözlükler
L_ACC_ROBOTICEYE,,Robotic Eye,ロボットの目,Robotisches Auge,Œil Robotique,Ojo Robótico,Olho Robótico,Роботический глаз,Occhio Robotico,機械眼,机械眼,로봇 눈,Robotyczne Oko,Роботичне Око,Robotisch Oog,Robotik Göz
L_ACC_SHADES,,Shades,シェイド,Schatten,Ombres,Sombras,Sombras,Тени,Ombre,幽影,墨镜,그림자,Cienie,Тіні,Schimmen,Gölgeler
L_ACC_TECHVISOR,,Tech Visor,テックバイザー,Techvisier,Viseur Technique,Visor Tecnológico,Visor Tecnológico,Технический Визор,Visore Tecnologico,科技面罩,科技面罩,테크 바이저,Wizjer Techniczny,Технічний візор,Techbril,Teknoloji Vizörü
L_ACC_WIGGLING,,Wiggling,うごめく,Wackelnd,Gigotant,Meneándose,Balançando,Покачивание,Dondolante,扭動,扭动,꿈틀거리는,Wiercenie się,Погойдування,Wiebelen,Kıvranma
L_ACC_GARLAND,,Garland,ガーランド,Garland,Garland,Garland,Garland,Гарланд,Garland,加蘭德,花冠,갈란드,Garland,Гарланд,Garland,Garland
L_ACC_HALO,,Halo,ハロー,Halo,Halo,Halo,Halo,Ореол,Halo,光環,光环,헤일로,Halo,Ореол,Halo,Halo
L_ACC_JESTER,,Jester,ジェスター,Narr,Bouffon,Bufón,Bobo da Corte,Шут,Giullare,小丑,小丑,광대,Błazen,Блазень,Nar,Soytarı
L_ACC_HOOD,,Hood,フード,Kapuze,Capuche,Capucha,Capuz,Капюшон,Cappuccio,兜帽,兜帽,후드,Kaptur,Каптур,Kap,Başlık
L_ACC_HORNEDHELMET,,Horned Helmet,角付きヘルメット,Gehörnter Helm,Casque à Cornes,Casco con Cuernos,Elmo Cornudo,Рогатый Шлем,Elmo Cornuto,角盔,角盔,뿔 투구,Rogaty Hełm,Рогатий шолом,Gehoornde Helm,Boynuzlu Miğfer
L_ACC_SKULLMASK,,Skull Mask,スカルマスク,Totenkopfmaske,Masque Crânien,Máscara de Calavera,Máscara de Caveira,Маска Черепа,Maschera Teschio,骷髏面具,骷髅面具,해골 가면,Maska Czaszki,Маска Черепа,Schedel Masker,Kafatası Maskesi
L_ACC_WOODMASK,,Wood Mask,木の仮面,Holzmaske,Masque en Bois,Máscara de Madera,Máscara de Madeira,Деревянная Маска,Maschera di Legno,木製面具,木制面具,나무 가면,Drewniana Maska,Дерев'яна маска,Houten Masker,Ahşap Maske
L_ACC_MEDAL,,Medal,メダル,Medaille,Médaille,Medalla,Medalha,Медаль,Medaglia,勳章,勋章,메달,Medal,Медаль,Medaille,Madalya
L_ACC_LARGERIBBONBLUE,,Large Ribbon (Blue),大きなリボン（青）,Große Schleife (Blau),Grand Ruban (Bleu),Lazo Grande (Azul),Laço Grande (Azul),Большая Лента (Синяя),Nastro Grande (Blu),大型緞帶（藍色）,大蝴蝶结（蓝）,큰 리본 (파란색),Duża Wstążka (Niebieska),Велика Стрічка (Синя),Grote Lint (Blauw),Büyük Kurdele (Mavi)
