Tag,Notes,English,Japanese,German,French,Spanish,Portuguese,Russian,Italian,Chinese (Traditional),Chinese (Simplified),Korean,Polish,Ukrainian,Dutch,Turkish
L_CODT_REALMS_REALM_INSTABILITY,,Realm Instability,領域不安定,Reichsinstabilität,Instabilité du Royaume,Inestabilidad del Reino,Instabilidade do Reino,Нестабильность Мира,Instabilità del Reame,領域不穩定,领域不稳定性,영역 불안정성,Niestabilność Krainy,Нестабільність Світу,Rijkinstabiliteit,Alem Kararsızlığı
L_CODT_REALMS_BLESSINGS_OF_THE_GODS,,Blessings of the Gods,神々の祝福,Segen der Götter,Bénédictions des Dieux,Bendiciones de los Dioses,Bênçãos dos Deuses,Благословения Богов,Benedizioni degli Dei,眾神的祝福,众神祝福,신들의 축복,Błogosławieństwa Bogów,Благословення Богів,Zegeningen van de Goden,Tanrıların Lütufları
L_CODT_REALMS_NETHER_REALMS,,Nether Realms,冥界,Nether-Reiche,Royaumes Inférieurs,Reinos Infernales,Reinos Infernais,Нижние Миры,Regni Inferiori,冥界,下界,저승계,Zaświaty,Потойбічні Світи,Nether Rijken,Öte Diyarlar
L_CODT_REALMS_OTHERWORLD_PORTALS,,Otherworld Portals,異界の門,Portale zur Anderswelt,Portails d'Outremonde,Portales del Otro Mundo,Portais do Outro Mundo,Порталы Иного Мира,Portali dell'Altromondo,異界之門,异界之门,이계의 관문,Portale do Zaświatów,Портали Іншосвіття,Anderwereldportalen,Öteki Dünya Portalları
L_CODT_GODS_INTRODUCTION,,Introduction,はじめに,Einführung,Introduction,Introducción,Introdução,Введение,Introduzione,介紹,简介,소개,Wprowadzenie,Вступ,Introductie,Giriş
L_CODT_GODS_FAVOR,,Favor,好意,Gunst,Faveur,Favor,Favor,Услуга,Favore,恩惠,恩惠,호감도,Przysługa,Прихильність,Gunst,Lütuf
L_CODT_GODS_EMBLEMS,,Emblems,エンブレム,Embleme,Emblèmes,Emblemas,Emblemas,Эмблемы,Emblemi,紋章,徽章,문장,Emblematy,Емблеми,Emblemen,Amblemler
L_CODT_GODS_SHOP,,Shop,ショップ,Laden,Boutique,Tienda,Loja,Магазин,Negozio,商店,商店,상점,Sklep,Крамниця,Winkel,Mağaza
L_CODT_MACROS_INTRODUCTION,,Introduction,はじめに,Einführung,Introduction,Introducción,Introdução,Введение,Introduzione,介紹,简介,소개,Wprowadzenie,Вступ,Introductie,Giriş
L_CODT_MACROS_PARTS_OF_A_MACRO,,Parts of a Macro,マクロの構成要素,Teile eines Makros,Parties d'une Macro,Partes de una Macro,Partes de uma Macro,Части макроса,Parti di una Macro,巨集的組成部分,宏的组成部分,매크로의 구성 요소,Części Makra,Частини макросу,Onderdelen van een Macro,Makronun Parçaları
L_CODT_MACROS_CREATING_A_MACRO,,Creating a Macro,マクロの作成,Erstellen eines Makros,Création d'une macro,Creando una Macro,Criando uma Macro,Создание макроса,Creazione di una Macro,建立巨集,创建宏,매크로 생성하기,Tworzenie Makra,Створення макросу,Een Macro Maken,Makro Oluşturma
L_CODT_MACROS_PARTS_OF_A_LINE,,Parts of a Line,線の部分,Teile einer Linie,Parties d'une Ligne,Partes de una Línea,Partes de uma Linha,Части линии,Parti di una Linea,線條的部分,指令行的部分,선의 부분,Części Linii,Частини лінії,Onderdelen van een Lijn,Bir Çizginin Parçaları
L_CODT_MACROS_USING_A_MACRO,,Using a Macro,マクロの使用,Einen Makro verwenden,Utilisation d'une Macro,Usando una Macro,Usando uma Macro,Использование макроса,Utilizzare una Macro,使用巨集,使用宏,매크로 사용하기,Używanie Makra,Використання макросу,Een Macro gebruiken,Makro Kullanımı
L_CODT_SPELLGEMS_INTRODUCTION,,Introduction,はじめに,Einführung,Introduction,Introducción,Introdução,Введение,Introduzione,介紹,简介,소개,Wprowadzenie,Вступ,Introductie,Giriş
L_CODT_SPELLGEMS_CRAFTING,,Crafting,クラフト,Handwerk,Artisanat,Fabricación,Criação,Крафт,Fabbricazione,製作,制作,제작,Rzemiosło,Ремесло,Ambachtelijk maken,Zanaat
L_CODT_SPELLGEMS_UPGRADING,,Upgrading,アップグレード,Verbessern,Amélioration,Mejorando,Aprimorando,Улучшение,Potenziamento,升級,升阶,업그레이드,Ulepszanie,Вдосконалення,Upgraderen,Yükseltme
L_CODT_SPELLGEMS_ENCHANTING,,Enchanting,エンチャント,Verzauberung,Enchantement,Encantamiento,Encantamento,Зачарование,Incantamento,附魔,附魔,마법부여,Zaklinanie,Зачарування,Betoveren,Büyüleme
L_CODT_SPELLGEMS_DISENCHANTING,,Disenchanting,解呪,Entzaubern,Désenchantement,Desencantamiento,Desencantamento,Расколдовывание,Disincantamento,解除附魔,解魔,마법 해제,Odczarowywanie,Розчаклування,Onttoveren,Büyü Bozma
L_CODT_SPELLGEMS_SPECIAL_SPELLS,,Special Spells,特殊魔法,Spezialzauber,Sorts Spéciaux,Hechizos Especiales,Magias Especiais,Особые заклинания,Incantesimi Speciali,特殊法術,特殊法术,특수 주문,Specjalne Zaklęcia,Особливі заклинання,Speciale Spreuken,Özel Büyüler
L_CODT_SPELLGEMS_SPELL_POTENCY,,Spell Potency,呪文効力,Zaubermacht,Puissance des sorts,Potencia de Hechizo,Potência de Feitiço,Сила заклинания,Potenza dell'Incantesimo,法術威力,法术效能,주문 효능,Moc Zaklęcia,Сила Закляття,Spreukpotentie,Büyü Gücü
L_CODT_SPELLGEMS_ETHEREAL_GEMS,,Ethereal Gems,エーテルの宝石,Ätherische Zaubersteine,Gemmes Éthérées,Gemas Etéreas,Gemas Etéreas,Эфирные Самоцветы,Gemme Eteree,靈幻寶石,虚幻宝石,에테르 보석,Eteryczne Klejnoty,Ефірні Самоцвіти,Etherische Edelstenen,Esrarengiz Mücevherler
L_CODT_CASTLE_INTRODUCTION,,Introduction,はじめに,Einführung,Introduction,Introducción,Introdução,Введение,Introduzione,介紹,简介,소개,Wprowadzenie,Вступ,Introductie,Giriş
L_CODT_CASTLE_DECORATIONS,,Decorations,装飾品,Dekorationen,Décorations,Decoraciones,Decorações,Украшения,Decorazioni,裝飾品,装饰,장식품,Dekoracje,Прикраси,Decoraties,Dekorasyonlar
L_CODT_CASTLE_DECORATION_MODE,,Decoration Mode,装飾モード,Dekorationsmodus,Mode Décoration,Modo de Decoración,Modo de Decoração,Режим украшения,Modalità Decorazione,裝飾模式,装饰模式,장식 모드,Tryb Dekoracji,Режим декорування,Decoratiemodus,Dekorasyon Modu
L_CODT_CASTLE_PROJECTS,,Projects,プロジェクト,Projekte,Projets,Proyectos,Projetos,Проекты,Progetti,專案,工程,프로젝트,Projekty,Проєкти,Projecten,Projeler
L_CODT_ITEMS_INTRODUCTION,,Introduction,はじめに,Einführung,Introduction,Introducción,Introdução,Введение,Introduzione,介紹,简介,소개,Wprowadzenie,Вступ,Introductie,Giriş
L_CODT_ITEMS_ARTIFACTS,,Artifacts,アーティファクト,Artefakte,Artéfacts,Artefactos,Artefatos,Артефакты,Artefatti,神器,神器,유물,Artefakty,Артефакти,Artefacten,Eserler
L_CODT_ITEMS_FIELD_ITEMS,,Field Items,フィールドアイテム,Feldgegenstände,Objets de terrain,Objetos de campo,Itens de Campo,Полевые предметы,Oggetti da Campo,場地物品,野外物品,필드 아이템,Przedmioty Terenowe,Польові предмети,Velditems,Alan Eşyaları
L_CODT_ITEMS_MATERIALS_ARTIFACTS,,Materials (Artifacts),素材（アーティファクト）,Materialien (Artefakte),Matériaux (Artéfacts),Materiales (Artefactos),Materiais (Artefatos),Материалы (Артефакты),Materiali (Artefatti),素材（神器）,材料（神器）,재료 (유물),Materiały (Artefakty),Матеріали (Артефакти),Materialen (Artefacten),Malzemeler (Eserler)
L_CODT_ITEMS_MATERIALS_SPELL_GEMS,,Materials (Spell Gems),素材（呪文の宝石）,Materialien (Zaubersteine),Matériaux (Gemmes de sort),Materiales (Gemas de Hechizo),Materiais (Gemas de Feitiço),Материалы (Самоцветы заклинаний),Materiali (Gemme Incantesimo),材料（法術寶石）,材料（法术宝石）,재료 (주문 보석),Materiały (Klejnoty Zaklęć),Матеріали (Магічні самоцвіти),Materialen (Spreukedelstenen),Malzemeler (Büyü Taşları)
L_CODT_ITEMS_NETHER_STONES,,Nether Stones,冥府の石,Nethersteine,Pierres du Néant,Piedras del Inframundo,Pedras do Nether,Камни Нижнего Мира,Pietre dell'Oltretomba,冥界石,下界石,저승석,Kamienie Otchłani,Камені Пустоти,Netherstenen,Öte Taşları
L_CODT_ITEMS_SPECIAL_ITEMS,,Special Items,特殊アイテム,Besondere Gegenstände,Objets spéciaux,Objetos Especiales,Itens Especiais,Особые предметы,Oggetti Speciali,特殊物品,特殊物品,특수 아이템,Przedmioty Specjalne,Особливі предмети,Speciale Voorwerpen,Özel Eşyalar
L_CODT_ITEMS_SPELL_GEMS,,Spell Gems,魔法の宝石,Zaubersteine,Gemmes de sort,Gemas de Hechizo,Gemas de Feitiço,Самоцветы заклинаний,Gemme Incantesimo,法術寶石,法术宝石,주문 보석,Klejnoty Zaklęć,Самоцвіти заклинань,Toversteen,Büyü Taşları
L_CODT_COMBAT_INTRODUCTION,,Introduction,はじめに,Einführung,Introduction,Introducción,Introdução,Введение,Introduzione,介紹,简介,소개,Wprowadzenie,Вступ,Introductie,Giriş
L_CODT_COMBAT_TIMELINE,,Timeline,タイムライン,Zeitlinie,Chronologie,Línea temporal,Linha do Tempo,Хронология,Cronologia,時間線,时间线,타임라인,Oś czasu,Хронологія,Tijdlijn,Zaman Çizelgesi
L_CODT_COMBAT_ATTACKING,,Attacking,攻撃中,Angreifen,Attaque,Atacando,Atacando,Атака,Attaccando,攻擊中,攻击,공격 중,Atakowanie,Атака,Aanvallen,Saldırı
L_CODT_COMBAT_CASTING,,Casting,詠唱,Zauberwirken,Lancement,Lanzamiento,Conjuração,Колдовство,Lancio,施法,施法,시전,Rzucanie,Закляття,Werpen,Büyü Yapma
L_CODT_COMBAT_DEFENDING,,Defending,防御中,Verteidigung,Se défendre,Defendiendo,Defendendo,Защита,Difendendo,防禦中,防御,방어 중,Obrona,Захист,Verdedigen,Savunma
L_CODT_COMBAT_PROVOKING,,Provoking,挑発,Provozieren,Provocation,Provocando,Provocando,Провоцирование,Provocante,挑釁,挑衅,도발,Prowokowanie,Провокування,Provoceren,Kışkırtıcı
L_CODT_COMBAT_INSPECTION,,Inspection,調査,Untersuchung,Inspection,Inspección,Inspeção,Осмотр,Ispezione,檢查,检查,조사,Inspekcja,Огляд,Inspectie,İnceleme
L_CODT_COMBAT_DAMAGE_TYPES,,Damage Types,ダメージタイプ,Schadensarten,Types de dégâts,Tipos de Daño,Tipos de Dano,Типы урона,Tipi di Danno,傷害類型,伤害类型,피해 유형,Typy Obrażeń,Типи пошкоджень,Schadetypen,Hasar Türleri
L_CODT_COMBAT_RESISTANT_CREATURES,,Resistant Creatures,耐性を持つ生物,Widerstandsfähige Kreaturen,Créatures Résistantes,Criaturas Resistentes,Criaturas Resistentes,Стойкие Существа,Creature Resistenti,抗性生物,抗性生物,저항력 있는 생물,Odporne Stworzenia,Стійкі Істоти,Resistente Wezens,Dirençli Yaratıklar
L_CODT_COMBAT_BATTLE_HISTORY,,Battle History,バトル履歴,Kampfchronik,Historique de combat,Historial de Batalla,Histórico de Batalha,Боевая история,Cronologia Battaglie,戰鬥紀錄,战斗记录,전투 기록,Historia Bitew,Історія битв,Gevechtsgeschiedenis,Savaş Geçmişi
L_CODT_COMBAT_START_OF_BATTLE_EFFECTS,,Start of Battle Effects,戦闘開始時の効果,Kampfbeginn-Effekte,Effets de Début de Combat,Efectos de Inicio de Batalla,Efeitos de Início de Batalha,Эффекты начала боя,Effetti di Inizio Battaglia,戰鬥開始效果,战斗开始时效果,전투 시작 효과,Efekty Rozpoczęcia Walki,Ефекти на початку бою,Begin van Gevechtseffecten,Savaş Başlangıç Etkileri
L_CODT_COMBAT_ACTION_LIMITS,,Action Limits,アクションリミット,Aktionslimits,Limites d'Action,Límites de Acción,Limites de Ação,Лимиты действий,Limiti di Azione,行動限制,行动限制,행동 제한,Limity Akcji,Обмеження дій,Actielimieten,Aksiyon Limitleri
L_CODT_COMBAT_ADDITIONAL_TIPS,,"Additional Tips, Part 1",追加のヒント、パート1,"Zusätzliche Tipps, Teil 1","Conseils Supplémentaires, Partie 1","Consejos Adicionales, Parte 1","Dicas Adicionais, Parte 1","Дополнительные советы, часть 1","Consigli Aggiuntivi, Parte 1",額外提示，第一部分,额外提示，第1部分,"추가 팁, 파트 1","Dodatkowe Wskazówki, Część 1","Додаткові поради, частина 1","Extra Tips, Deel 1","Ek İpuçları, Bölüm 1"
L_CODT_COMBAT_ADDITIONAL_TIPS2,,"Additional Tips, Part 2",追加のヒント、パート2,"Zusätzliche Tipps, Teil 2","Conseils Supplémentaires, Partie 2","Consejos Adicionales, Parte 2","Dicas Adicionais, Parte 2","Дополнительные советы, часть 2","Suggerimenti Aggiuntivi, Parte 2",額外提示，第二部分,额外提示，第2部分,"추가 팁, 파트 2","Dodatkowe Wskazówki, Część 2","Додаткові поради, частина 2","Extra Tips, Deel 2","Ek İpuçları, Bölüm 2"
L_CODT_CHARACTER_INTRODUCTION,,Introduction,はじめに,Einführung,Introduction,Introducción,Introdução,Введение,Introduzione,介紹,简介,소개,Wprowadzenie,Вступ,Introductie,Giriş
L_CODT_CHARACTER_SPECIALIZATIONS,,Specializations,専門化,Spezialisierungen,Spécialisations,Especializaciones,Especializações,Специализации,Specializzazioni,專精,专精,전문화,Specjalizacje,Спеціалізації,Specialisaties,Uzmanlıklar
L_CODT_CHARACTER_COSTUMES,,Costumes,コスチューム,Kostüme,Costumes,Disfraces,Trajes,Костюмы,Costumi,服裝,服装,코스튬,Kostiumy,Костюми,Kostuums,Kostümler
L_CODT_CHARACTER_ACHIEVEMENTS,,Achievements,実績,Erfolge,Succès,Logros,Conquistas,Достижения,Obiettivi,成就,成就,업적,Osiągnięcia,Досягнення,Prestaties,Başarılar
L_CODT_CHARACTER_CURRENCY,,Currency,通貨,Währung,Monnaie,Moneda,Moeda,Валюта,Valuta,貨幣,货币,통화,Waluta,Валюта,Valuta,Para Birimi
L_CODT_CHARACTER_KNOWLEDGE,,Knowledge,知識,Wissen,Connaissance,Conocimiento,Conhecimento,Знание,Conoscenza,知識,知识,지식,Wiedza,Знання,Kennis,Bilgi
L_CODT_CHARACTER_CARDS,,Cards,カード,Karten,Cartes,Cartas,Cartas,Карты,Carte,卡牌,卡牌,카드,Karty,Карти,Kaarten,Kartlar
L_CODT_CHARACTER_FORTUNE,,Fortune,運命,Glück,Fortune,Fortuna,Fortuna,Удача,Fortuna,幸運,幸运,행운,Fortuna,Удача,Fortuin,Şans
L_CODT_CREATURES_INTRODUCTION,,Introduction,はじめに,Einführung,Introduction,Introducción,Introdução,Введение,Introduzione,介紹,简介,소개,Wprowadzenie,Вступ,Introductie,Giriş
L_CODT_CREATURES_MANA,,Mana,マナ,Mana,Mana,Maná,Mana,Мана,Mana,魔力,法力,마나,Mana,Мана,Mana,Mana
L_CODT_CREATURES_STATS,,Stats,ステータス,Attribute,Statistiques,Estadísticas,Atributos,Характеристики,Statistiche,屬性,属性值,스탯,Statystyki,Характеристики,Statistieken,İstatistikler
L_CODT_CREATURES_PERSONALITIES,,Personalities,パーソナリティ,Persönlichkeiten,Personnalités,Personalidades,Personalidades,Личности,Personalità,個性,性格,성격,Osobowości,Особистості,Persoonlijkheden,Kişilikler
L_CODT_CREATURES_HEALTH_PERSONALITIES,,Health Personalities,健康性格,Gesundheits-Persönlichkeiten,Personnalités de Santé,Personalidades de Salud,Personalidades de Saúde,Типы здоровья,Personalità Salutari,生命個性,生命值性格,체력 성격,Osobowości Zdrowia,Особистості Здоров'я,Gezondheidspersoonlijkheden,Sağlık Kişilikleri
L_CODT_CREATURES_ATTACK_PERSONALITIES,,Attack Personalities,攻撃性格,Angriffspersönlichkeiten,Personnalités d'Attaque,Personalidades de Ataque,Personalidades de Ataque,Боевые Характеры,Personalità d'Attacco,攻擊性格,攻击性格,공격 성향,Osobowości Ataku,Бойові Характери,Aanvalstypen,Saldırı Kişilikleri
L_CODT_CREATURES_INTELLIGENCE_PERSONALITIES,,Intelligence Personalities,知性の性格,Intelligenz-Persönlichkeiten,Personnalités d'Intelligence,Personalidades de Inteligencia,Personalidades de Inteligência,Типы Интеллекта,Personalità dell'Intelligenza,智慧人格,智力性格,지능 성격,Osobowości Inteligencji,Особистості Інтелекту,Intelligentie Persoonlijkheden,Zeka Kişilikleri
L_CODT_CREATURES_DEFENSE_PERSONALITIES,,Defense Personalities,防御性格,Verteidigungspersönlichkeiten,Personnalités de Défense,Personalidades de Defensa,Personalidades de Defesa,Защитные Личности,Personalità Difensive,防禦性格,防御性格,방어 성향,Osobowości Obronne,Захисні Особистості,Verdedigingspersoonlijkheden,Savunma Kişilikleri
L_CODT_CREATURES_SPEED_PERSONALITIES,,Speed Personalities,スピード性格,Geschwindigkeits-Persönlichkeiten,Personnalités de Vitesse,Personalidades de Velocidad,Personalidades de Velocidade,Скоростные Характеры,Personalità di Velocità,速度性格,速度性格,속도 성격,Osobowości Szybkości,Швидкісні особистості,Snelheid Persoonlijkheden,Hız Kişilikleri
L_CODT_CREATURES_TRAITS,,Traits,特性,Merkmale,Traits,Rasgos,Características,Черты,Tratti,特質,特性,특성,Cechy,Риси,Eigenschappen,Özellikler
L_CODT_CREATURES_RACES,,Races,種族,Rassen,Races,Razas,Raças,Расы,Razze,種族,种族,종족,Rasy,Раси,Rassen,Irklar
L_CODT_CREATURES_CLASSES,,Classes,クラス,Klassen,Classes,Clases,Classes,Классы,Classi,職業,系别,클래스,Klasy,Класи,Klassen,Sınıflar
L_CODT_CREATURES_FUSION,,Fusion,フュージョン,Fusion,Fusion,Fusión,Fusão,Слияние,Fusione,融合,融合,융합,Fuzja,Злиття,Fusie,Füzyon
L_CODT_CREATURES_ITEM_SETS,,Item Sets,アイテムセット,Ausrüstungssets,Ensembles d'objets,Conjuntos de objetos,Conjuntos de Itens,Наборы предметов,Set di oggetti,物品套裝,物品套装,아이템 세트,Zestawy przedmiotów,Набори предметів,Voorwerpsets,Eşya Setleri
