line,check,english,german
663,POTENCY,"At the start of your Herbling's turn, it {ACTION_casts} [icons,1976]Cruelty of the Wild. This spell has 20% more potency for each of your Herbling's Tiers.","Zu Beginn des Zuges deines Herblings {ACTION_casts} es [icons,1976]Grausamkeit der Wildnis. Dieser Zauber hat 20% mehr Wirksamkeit für jede Stufe deines Herblings."
725,OLD_STAT,"Your creatures have a <5>% chance to double the value of all their actions (damage, healing, stat gains, etc).","Deine Kreaturen haben eine <5>% Chance, den Wert all ihrer Aktionen zu verdoppeln (Schaden, Heilung, Statuswerte usw.)."
739,OLD_STAT,Your creatures have 1% more stats (other than {STAT_health}) for each time their on-action effects activated in the current battle.,"Deine Kreaturen haben 1% mehr Statuswerte (außer {STAT_health}) für jedes Mal, wenn ihre Aktionseffekte im aktuellen Kampf aktiviert wurden."
783,OLD_STAT,"When an enemy with {CONDNAME_DEBUFF_INVERTED} gains stats, they have a 50% chance to lose stats instead.","Wenn ein Gegner mit {CONDNAME_DEBUFF_INVERTED} Statuswerte erhält, besteht eine 50% Chance, dass er stattdessen Statuswerte verliert."
787,POTENCY,Your creatures deal additional damage with attacks and spells equal to <1>% of the enemy’s {CONDNAME_DEBUFF_INVERTED} potency.,Deine Kreaturen verursachen zusätzlichen Schaden mit Angriffen und Zaubern in Höhe von <1>% der {CONDNAME_DEBUFF_INVERTED}-Wirksamkeit des Gegners.
789,POTENCY,"When the enemies’ {CONDNAME_DEBUFF_INVERTED} debuff activates, there is a <5>% chance that its potency will not be decreased.","Wenn der {CONDNAME_DEBUFF_INVERTED}-Debuff der Gegner aktiviert wird, besteht eine <5>%-Chance, dass seine Wirksamkeit nicht verringert wird."
801,POTENCY,"After an enemy is killed, the potency of their {CONDNAME_DEBUFF_INVERTED} debuff is added to the potency of all other enemies’ {CONDNAME_DEBUFF_INVERTED} debuffs.","Nachdem ein Feind getötet wurde, wird die Wirksamkeit seines {CONDNAME_DEBUFF_INVERTED}-Debuffs zur Wirksamkeit der {CONDNAME_DEBUFF_INVERTED}-Debuffs aller anderen Feinde hinzugefügt."
803,POTENCY,"After an enemy is killed, all other enemies take damage equal to <10>% of the potency of their {CONDNAME_DEBUFF_INVERTED} debuff.","Nachdem ein Feind getötet wurde, erleiden alle anderen Feinde Schaden in Höhe von <10>% der Wirksamkeit ihres {CONDNAME_DEBUFF_INVERTED}-Schwächungszaubers."
873,OLD_STAT,Your creatures' stats are no longer reset after they're killed.,"Deine Kreaturen verlieren ihre Statuswerte nicht mehr, nachdem sie getötet wurden."
901,POTENCY,Enemies’ {CONDNAME_DEBUFF_INVERTED} debuffs lose 50% less potency when they activate.,"Debuffs vom Typ {CONDNAME_DEBUFF_INVERTED} der Gegner verlieren 50% weniger Wirksamkeit, wenn sie aktiviert werden."
929,POTENCY,Your creatures’ Rune spells have 10% more potency for each {STAT_charge} they’re missing.,Deine Kreaturen-Runenzauber haben 10% mehr Wirksamkeit für jede fehlende {STAT_charge}.
969,POTENCY,Your creatures' spells that interact with {CONDNAME_DEBUFF_POISON} have <20>% more potency.,"Eure Kreaturen-Zauber, die mit {CONDNAME_DEBUFF_POISON} interagieren, haben <20>% mehr Wirksamkeit."
973,POTENCY,"After a creature takes damage from {CONDNAME_DEBUFF_POISON}, the potency of all enemies' {CONDNAME_DEBUFF_POISON} debuffs is increased by <5>%.","Nachdem eine Kreatur Schaden durch {CONDNAME_DEBUFF_POISON} erleidet, wird die Wirksamkeit aller {CONDNAME_DEBUFF_POISON}-Schwächungszauber der Feinde um <5>% erhöht."
979,POTENCY,"If an enemy dies while it is afflicted with {CONDNAME_DEBUFF_POISON}, all other enemies take damage equal to 50% of the potency of this debuff.","Wenn ein Feind stirbt, während er von {CONDNAME_DEBUFF_POISON} betroffen ist, erleiden alle anderen Feinde Schaden in Höhe von 50% der Wirksamkeit dieses Debuffs."
981,POTENCY,Your creatures deal additional damage with attacks and spells equal to <4>% of the potency of their {CONDNAME_DEBUFF_POISON} debuff.,Deine Kreaturen verursachen zusätzlichen Schaden mit Angriffen und Zaubern in Höhe von <4>% der Wirksamkeit ihres {CONDNAME_DEBUFF_POISON}-Schwächungszaubers.
1087,OLD_MINION,"Your creatures cannot gain buffs or minions that are unrelated to this specialization. Your Greater Demons are not removed on death. This perk is always active while your specialization is {SPEC_DEMONOLOGIST}, even if you haven't allocated any Perk Points to it.","Deine Kreaturen können keine Buffs oder Lakaien erhalten, die nicht mit dieser Spezialisierung zusammenhängen. Deine Großen Dämonen werden beim Tod nicht entfernt. Dieser Vorteil ist immer aktiv, solange deine Spezialisierung {SPEC_DEMONOLOGIST} ist, selbst wenn du keine Talentpunkte dafür ausgegeben hast."
1107,OLD_STAT,"After any number of stacks of your creatures' Lesser Demons go away, they gain 15% stats.","Nachdem eine beliebige Anzahl an Stapeln der Niederen Dämonen deiner Kreaturen verschwindet, erhalten sie 15% mehr Statuswerte."
1119,OLD_STAT,Your creatures have 10% more stats (excluding Health) for each different Greater Demon your creatures have.,"Deine Kreaturen haben 10% mehr Statuswerte (ausgenommen Gesundheit) für jeden unterschiedlichen Großen Dämon, den deine Kreaturen besitzen."
1153,OLD_STAT,Enemies with {CONDNAME_DEBUFF_BOMB} have 20% less stats (excluding {STAT_health}).,Gegner mit {CONDNAME_DEBUFF_BOMB} haben 20% weniger Statuswerte (ausgenommen {STAT_health}).
1189,POTENCY,50% of the potency of your creatures' {SPELL_equipment}s is based on their highest stat instead of {STAT_intelligence}.,50% der Wirksamkeit der {SPELL_equipment}s deiner Kreaturen basiert auf ihrem höchsten Attribut anstatt auf {STAT_intelligence}.
1283,POTENCY,Enemies always have {CONDNAME_DEBUFF_MANIA}. The potency of this debuff is refreshed at the end of each enemy's turn.,Gegner haben immer {CONDNAME_DEBUFF_MANIA}. Die Wirksamkeit dieses Debuffs wird am Ende jedes Zuges eines Gegners erneuert.
1291,POTENCY,"At the start of each creature's turn, if your {RACE_Guardian} has at least 500% of the {STAT_defense} it started the battle with, all creatures {ACTION_cast} [icons,1972]Words of Encouragement on your {RACE_Guardian} and they take damage equal to 100% of their {CONDNAME_DEBUFF_MANIA} debuff's potency. This effect can only happen once per battle.","Zu Beginn des Zuges jeder Kreatur, wenn dein {RACE_Guardian} mindestens 500% der {STAT_defense} hat, mit der er den Kampf begonnen hat, {ACTION_cast} alle Kreaturen [icons,1972]Ermutigende Worte auf deinen {RACE_Guardian} und sie erleiden Schaden in Höhe von 100% der Wirksamkeit ihres {CONDNAME_DEBUFF_MANIA}-Debuffs. Dieser Effekt kann nur einmal pro Kampf eintreten."
1297,POTENCY,Your creatures' Relics' spells have 100% more potency.,Die Zauber der Relikte deiner Kreaturen haben 100% mehr Wirksamkeit.
1299,OLD_STAT,Your creatures gain 100% more stats from their Relics.,Deine Kreaturen erhalten 100% mehr Statuswerte von ihren Relikten.
