line,check,english,german
1787,OLD_CREATURE,This creature deals 125% more damage for each additional living creature you have greater than your enemy.,"Diese Kreatur verursacht 125% mehr Schaden für jedes zusätzliche lebende Wesen, das du mehr als dein Gegner hast."
2001,POTENCY,The potency of your creatures' non-damaging spells is based on their {CONDNAME_BUFF_BARRIER} absorption instead of {STAT_intelligence}.,Die Wirksamkeit der nicht-schädigenden Zauber deiner Kreaturen basiert auf ihrer {CONDNAME_BUFF_BARRIER}-Absorption anstelle von {STAT_intelligence}.
2331,POTENCY,"After your creatures attack an enemy with {CONDNAME_DEBUFF_BOMB}, the potency of the {CONDNAME_DEBUFF_BOMB} increases by 20%. This trait does not stack.","Nachdem deine Kreaturen einen Feind mit {CONDNAME_DEBUFF_BOMB} angreifen, erhöht sich die Wirksamkeit des {CONDNAME_DEBUFF_BOMB} um 20%. Dieses Merkmal ist nicht kumulativ."
2385,POTENCY,"The damage of this creature's attacks and the potency of this creature's spells is based on its {STAT_speed}, rather than its {STAT_attack} or {STAT_intelligence}.","Der Schaden der Angriffe dieser Kreatur und die Wirksamkeit ihrer Zauber basieren auf ihrem {STAT_speed}, anstatt auf ihrem {STAT_attack} oder ihrer {STAT_intelligence}."
2409,POTENCY,"Enemies always have {CONDNAME_DEBUFF_POISON}. At the start of this creature's turn, the potency of the enemies' {CONDNAME_DEBUFF_POISON} debuff increases by 100%.",Feinde haben immer {CONDNAME_DEBUFF_POISON}. Zu Beginn des Zuges dieser Kreatur erhöht sich die Wirksamkeit des {CONDNAME_DEBUFF_POISON}-Debuffs der Feinde um 100%.
2504,POTENCY,"At the start of this creature's turn, it increases the potency of enemies' {CONDNAME_DEBUFF_POISON} debuffs by 50%.",Zu Beginn des Zuges dieser Kreatur erhöht sie die Wirksamkeit der {CONDNAME_DEBUFF_POISON}-Schwächungen von Feinden um 50%.
2506,POTENCY,"At the start of this creature's turn, it increases the potency of enemies' {CONDNAME_DEBUFF_BURNED} debuffs by 50%.",Zu Beginn des Zuges dieser Kreatur erhöht sie die Wirksamkeit der {CONDNAME_DEBUFF_BURNED}-Schwächungen von Feinden um 50%.
2508,POTENCY,"At the start of this creature's turn, it increases the potency of enemies' {CONDNAME_DEBUFF_BOMB} debuffs by 50%.",Zu Beginn des Zuges dieser Kreatur erhöht sie die Wirksamkeit der {CONDNAME_DEBUFF_BOMB}-Schwächungszauber von Feinden um 50%.
2554,POTENCY,"The potency of the enemies' {CONDNAME_DEBUFF_BOMB} debuffs is shared with each other, but enemies take 50% less damage from this debuff. This trait does not stack.","Die Wirksamkeit der {CONDNAME_DEBUFF_BOMB}-Schwächungen der Gegner wird untereinander geteilt, aber Gegner erleiden 50% weniger Schaden durch diese Schwächung. Dieses Merkmal ist nicht kumulativ."
2600,POTENCY,"Enemies always have {CONDNAME_DEBUFF_POISON}. At the start of this creature's turn, the potency of the enemies' {CONDNAME_DEBUFF_POISON} debuff increases by 50%.",Feinde haben immer {CONDNAME_DEBUFF_POISON}. Zu Beginn des Zuges dieser Kreatur erhöht sich die Wirksamkeit des {CONDNAME_DEBUFF_POISON}-Debuffs der Feinde um 50%.
2602,POTENCY,"Enemies always have {CONDNAME_DEBUFF_POISON} and {CONDNAME_DEBUFF_BURNED}. At the start of this creature's turn, the potency of the enemies' {CONDNAME_DEBUFF_POISON} and {CONDNAME_DEBUFF_BURNED} debuffs increases by 50%.",Gegner haben immer {CONDNAME_DEBUFF_POISON} und {CONDNAME_DEBUFF_BURNED}. Zu Beginn des Zuges dieser Kreatur erhöht sich die Wirksamkeit der {CONDNAME_DEBUFF_POISON}- und {CONDNAME_DEBUFF_BURNED}-Debuffs der Gegner um 50%.
2604,POTENCY,"Enemies always have {CONDNAME_DEBUFF_POISON}, {CONDNAME_DEBUFF_BURNED}, and {CONDNAME_DEBUFF_BLEED}. At the start of this creature's turn, the potency of the enemies' {CONDNAME_DEBUFF_POISON} and {CONDNAME_DEBUFF_BURNED} debuffs increases by 50%.","Feinde haben immer {CONDNAME_DEBUFF_POISON}, {CONDNAME_DEBUFF_BURNED} und {CONDNAME_DEBUFF_BLEED}. Zu Beginn des Zuges dieser Kreatur erhöht sich die Wirksamkeit der {CONDNAME_DEBUFF_POISON}- und {CONDNAME_DEBUFF_BURNED}-Debuffs der Feinde um 50%."
2710,OLD_DEBUFF,"This creature is immune to damage from attacks and spells. In addition, this creature is resistant to debuffs.",Diese Kreatur ist immun gegen Schaden durch Angriffe und Zauber. Außerdem ist diese Kreatur resistent gegen Schwächungseffekte.
2712,OLD_DEBUFF,"Your creatures are immune to damage from attacks and spells. In addition, your creatures are resistant to debuffs. At the start of this creature's turn, it removes a random debuff from its allies.",Deine Kreaturen sind immun gegen Schaden durch Angriffe und Zauber. Außerdem sind deine Kreaturen resistent gegen Schwächungseffekte. Zu Beginn des Zuges dieser Kreatur entfernt sie einen zufälligen Debuff von ihren Verbündeten.
2794,POTENCY,Your {RACE_Djinn}s' spells always deal critical damage and have 40% more potency. This trait does not stack.,Deine {RACE_Djinn}-Zauber verursachen immer kritischen Schaden und haben 40% mehr Wirksamkeit. Dieses Merkmal ist nicht kumulativ.
2806,POTENCY,"When your creatures afflict enemies with {CONDNAME_DEBUFF_BURNED}, the potency of this debuff is increased by 50% for each {RACE_Efreet} fighting on your side. This trait does not stack.","Wenn deine Kreaturen Feinde mit {CONDNAME_DEBUFF_BURNED} belegen, wird die Wirksamkeit dieses Debuffs um 50% für jeden {RACE_Efreet} erhöht, der auf deiner Seite kämpft. Dieses Merkmal ist nicht kumulativ."
2934,POTENCY,"When your creatures afflict enemies with {CONDNAME_DEBUFF_POISON}, the potency of this debuff is increased by 50% for each {RACE_Smog} fighting on your side. This trait does not stack.","Wenn deine Kreaturen Feinde mit {CONDNAME_DEBUFF_POISON} belegen, wird die Wirksamkeit dieses Debuffs um 50% für jedes {RACE_Smog} erhöht, das auf deiner Seite kämpft. Dieses Merkmal ist nicht kumulativ."
3112,POTENCY,Your creatures deal additional damage with attacks and spells equal to 50% of the potency of their {CONDNAME_BUFF_BARRIER}.,Deine Kreaturen verursachen zusätzlichen Schaden mit Angriffen und Zaubern in Höhe von 50% der Wirksamkeit ihrer {CONDNAME_BUFF_BARRIER}.
3226,POTENCY,"The head ensures that enemies always have {CONDNAME_DEBUFF_BURNED}, and it increases the potency of this debuff. In addition, enemies cannot circumvent damage from {CONDNAME_DEBUFF_BURNED}.","Der Kopf stellt sicher, dass Feinde immer {CONDNAME_DEBUFF_BURNED} haben, und erhöht die Wirksamkeit dieses Debuffs. Außerdem können Feinde den Schaden von {CONDNAME_DEBUFF_BURNED} nicht umgehen."
3274,POTENCY,"After this creature {ACTION_attacks} an enemy with {CONDNAME_DEBUFF_POISON}, it gains {STAT_attack} equal to 50% of the potency of this debuff.","Nachdem diese Kreatur einen Feind mit {CONDNAME_DEBUFF_POISON} {ACTION_attacks}, erhält sie {STAT_attack} in Höhe von 50% der Wirksamkeit dieses Debuffs."
3310,OLD_CREATURE,This creature has 15% more stats (other than {STAT_health}) for each other creature with this trait fighting on your side.,"Diese Kreatur hat 15% mehr Werte (außer {STAT_health}) für jedes andere Wesen mit dieser Merkmal, das an deiner Seite kämpft."
3362,POTENCY,"If your creatures have {ACTION_cast} an even number of spells, 30% of their {STAT_speed} is added to their spells' potency. If your creatures have {ACTION_cast} an odd number of spells, 30% of their {STAT_defense} is added to their spells' potency. This trait does not stack.","Wenn deine Kreaturen eine gerade Anzahl an Zaubern {ACTION_cast} haben, werden 30% ihrer {STAT_speed} zur Wirksamkeit ihrer Zauber hinzugefügt. Wenn deine Kreaturen eine ungerade Anzahl an Zaubern {ACTION_cast} haben, werden 30% ihrer {STAT_defense} zur Wirksamkeit ihrer Zauber hinzugefügt. Dieses Merkmal ist nicht kumulativ."
3380,POTENCY,"After an enemy takes damage from {CONDNAME_DEBUFF_POISON}, the potency of all enemies' {CONDNAME_DEBUFF_POISON} debuffs is increased by 15%. This trait does not stack.","Nachdem ein Gegner Schaden durch {CONDNAME_DEBUFF_POISON} erleidet, wird die Wirksamkeit aller {CONDNAME_DEBUFF_POISON}-Schwächungszauber der Gegner um 15% erhöht. Dieses Merkmal ist nicht kumulativ."
3422,POTENCY,"When this creature {ACTION_casts} a spell, the spell has 25% more potency for each buff it has. At the end of this creature's turn, its buffs are removed.","Wenn diese Kreatur einen Zauber {ACTION_casts}, hat der Zauber 25% mehr Wirksamkeit für jeden Buff, den sie besitzt. Am Ende des Zuges dieser Kreatur werden ihre Buffs entfernt."
3426,POTENCY,"This creature is healed instead of damaged by {CONDNAME_DEBUFF_BLEED} and {CONDNAME_DEBUFF_BURNED}, but at 50% effectiveness.","Diese Kreatur wird durch {CONDNAME_DEBUFF_BLEED} und {CONDNAME_DEBUFF_BURNED} geheilt statt Schaden zu erleiden, jedoch nur mit 50% Wirksamkeit."
3514,POTENCY,Increases the effectiveness of this creature's first Stat Slot by 400%.,Erhöht die Wirksamkeit des ersten Statusplatzes dieser Kreatur um 400%.
3536,OLD_CREATURE,This creature deals 30% more damage with attacks and spells for each time each creature has died in the current battle.,"Diese Kreatur verursacht 30% mehr Schaden mit Angriffen und Zaubern für jedes Mal, das jedes Wesen im aktuellen Kampf gestorben ist."
3642,OLD_CREATURE,This creature deals 15% more damage for each creature below it on the {TIMELINE} at the start of battle.,"Diese Kreatur verursacht 15% mehr Schaden für jedes Wesen, das zu Kampfbeginn auf der {TIMELINE} unter ihm steht."
3648,OLD_CREATURE,This creature ignores 10% of enemies' {STAT_defense} for each dead creature.,Diese Kreatur ignoriert 10% der {STAT_defense} von Feinden für jedes tote Wesen.
3670,POTENCY,"When this creature {ACTION_casts} a spell, the spell's potency is 100% to 200% of its normal amount.","Wenn diese Kreatur einen Zauber {ACTION_casts}, beträgt die Wirksamkeit des Zaubers 100% bis 200% des normalen Werts."
3692,POTENCY,"After this creature {ACTION_casts} a spell, it increases the potency of enemies' {CONDNAME_DEBUFF_BURNED}, {CONDNAME_DEBUFF_POISON}, and {CONDNAME_DEBUFF_BOMB} debuffs by 10%.","Nachdem diese Kreatur einen Zauber {ACTION_casts}, erhöht sie die Wirksamkeit der Debuffs {CONDNAME_DEBUFF_BURNED}, {CONDNAME_DEBUFF_POISON} und {CONDNAME_DEBUFF_BOMB} der Feinde um 10%."
3718,POTENCY,"When your creatures with {CONDNAME_BUFF_BARRIER} take damage, the {CONDNAME_BUFF_BARRIER} shatters, dealing damage to enemies equal to 35% of its potency. This trait does not stack.","Wenn deine Kreaturen mit {CONDNAME_BUFF_BARRIER} Schaden erleiden, zerbricht die {CONDNAME_BUFF_BARRIER} und fügt Gegnern Schaden in Höhe von 35% ihrer Wirksamkeit zu. Dieses Merkmal ist nicht kumulativ."
3724,POTENCY,"After this creature {ACTION_provokes}, its {CONDNAME_BUFF_BARRIER} shatters, dealing damage to enemies equal to 50% of its potency and healing your creatures for the same amount.","Nachdem diese Kreatur {ACTION_provokes}, zerbricht ihre {CONDNAME_BUFF_BARRIER} und fügt Feinden Schaden in Höhe von 50% ihrer Wirksamkeit zu, während sie deine Kreaturen um denselben Betrag heilt."
3958,POTENCY,"After an enemy takes damage from {CONDNAME_DEBUFF_BOMB}, this creature afflicts it with {CONDNAME_DEBUFF_BURNED} and {CONDNAME_DEBUFF_POISON}. If the enemy already has these debuffs, their potency is increased by 30% instead.","Nachdem ein Feind Schaden durch {CONDNAME_DEBUFF_BOMB} erlitten hat, belegt diese Kreatur ihn mit {CONDNAME_DEBUFF_BURNED} und {CONDNAME_DEBUFF_POISON}. Falls der Feind diese Debuffs bereits hat, wird stattdessen ihre Wirksamkeit um 30% erhöht."
4018,POTENCY,"After this creature takes damage from an attack or spell, each enemy has a 50% chance to be afflicted with {CONDNAME_DEBUFF_BOMB}. If they already have {CONDNAME_DEBUFF_BOMB}, they take damage equal to 1% to 160% of their {CONDNAME_DEBUFF_BOMB}'s potency.","Nachdem diese Kreatur Schaden durch einen Angriff oder Zauber erleidet, besteht für jeden Gegner eine 50% Chance, mit {CONDNAME_DEBUFF_BOMB} belegt zu werden. Falls sie bereits {CONDNAME_DEBUFF_BOMB} haben, erleiden sie Schaden in Höhe von 1% bis 160% der Wirksamkeit ihres {CONDNAME_DEBUFF_BOMB}."
4028,POTENCY,"While this creature is at the bottom of the {TIMELINE}, your creatures do not consume {STAT_charges} when they {ACTION_cast} spells. In addition, their spells always deal critical damage and have 100% more potency.","Während sich diese Kreatur am Ende der {TIMELINE} befindet, verbrauchen deine Kreaturen keine {STAT_charges}, wenn sie Zauber {ACTION_cast}. Zusätzlich verursachen ihre Zauber immer kritischen Schaden und haben 100% mehr Wirksamkeit."
4134,POTENCY,"[icons,1976]Toxic Frogmania cast by your creatures always deals massive damage based on the caster's lowest stat and afflicts the target with {CONDNAME_DEBUFF_POISON}. The potency of the spell is increased by 20% for each unique class among your creatures. This trait does not stack.","[icons,1976]Toxische Frogmanie, die von deinen Kreaturen gewirkt wird, verursacht immer massiven Schaden basierend auf dem niedrigsten Wert des Zauberwirkers und belegt das Ziel mit {CONDNAME_DEBUFF_POISON}. Die Wirksamkeit des Zaubers wird um 20% für jede einzigartige Klasse unter deinen Kreaturen erhöht. Dieses Merkmal ist nicht kumulativ."
4150,POTENCY,Creatures lose 35% more stats. Your creatures {ACTION_cast} spells that interact with {CONDNAME_DEBUFF_FEAR} with 50% more potency. This trait does not stack.,"Kreaturen verlieren 35% mehr Attribute. Deine Kreaturen {ACTION_cast} Zauber, die mit {CONDNAME_DEBUFF_FEAR} interagieren, mit 50% mehr Wirksamkeit. Dieses Merkmal ist nicht kumulativ."
4166,OLD_CREATURE,"This creature always has {CONDNAME_DEBUFF_SILENCE}. Your creatures' [icons,1976]Lightning Storm acts as if they have 50% more {STAT_intelligence} for each creature on your team afflicted with {CONDNAME_DEBUFF_SILENCE}. This trait does not stack.","Diese Kreatur hat immer {CONDNAME_DEBUFF_SILENCE}. Der [icons,1976]Gewittersturm deiner Kreaturen wirkt, als hätten sie 50% mehr {STAT_intelligence} für jedes Wesen in deinem Team, das von {CONDNAME_DEBUFF_SILENCE} betroffen ist. Dieses Merkmal ist nicht kumulativ."
4174,POTENCY,"This creature always has {CONDNAME_DEBUFF_BLIND}. When your creatures with {CONDNAME_DEBUFF_BLIND} {ACTION_cast} a spell that targets more than one creature, it instead targets all creatures and has 100% more potency. This trait does not stack.","Diese Kreatur hat immer {CONDNAME_DEBUFF_BLIND}. Wenn deine Kreaturen mit {CONDNAME_DEBUFF_BLIND} einen Zauber {ACTION_cast}, der mehr als eine Kreatur als Ziel hat, zielt dieser stattdessen auf alle Kreaturen und hat 100% mehr Wirksamkeit. Dieses Merkmal ist nicht kumulativ."
4230,POTENCY,Your creatures' spells have 100% more potency if the spell's class is different from the last spell cast in the current battle. This trait does not stack.,"Die Zauber deiner Kreaturen haben 100% mehr Wirksamkeit, wenn die Klasse des Zaubers sich von der des letzten im aktuellen Kampf gewirkten Zaubers unterscheidet. Dieses Merkmal ist nicht kumulativ."
4236,POTENCY,"If your creatures have collectively {ACTION_cast} a spell from each class in the current battle, their Spell Gems no longer consume {STAT_charges} and have 50% more potency. This trait does not stack.","Wenn deine Kreaturen gemeinsam einen Zauber jeder Klasse im aktuellen Kampf {ACTION_cast} haben, verbrauchen ihre Zaubersteine keine {STAT_charges} mehr und haben 50% mehr Wirksamkeit. Dieses Merkmal ist nicht kumulativ."
4256,POTENCY,This creature always has {CONDNAME_DEBUFF_MANIA} and has additional {STAT_intelligence} equal to 5% of the potency of its {CONDNAME_DEBUFF_MANIA}. This creature cannot be immune to {CONDNAME_DEBUFF_MANIA}.,Diese Kreatur hat immer {CONDNAME_DEBUFF_MANIA} und besitzt zusätzliche {STAT_intelligence} in Höhe von 5% der Wirksamkeit ihres {CONDNAME_DEBUFF_MANIA}. Diese Kreatur kann nicht immun gegen {CONDNAME_DEBUFF_MANIA} sein.
4258,POTENCY,"If an enemy's {CONDNAME_DEBUFF_MANIA} potency is greater than 100% of its maximum {STAT_health} when it dies, it cannot be resurrected.","Wenn die Wirksamkeit von {CONDNAME_DEBUFF_MANIA} eines Feindes beim Tod mehr als 100% seiner maximalen {STAT_health} beträgt, kann er nicht wiederbelebt werden."
