action_token,file,row,english_count,german_count,english,german
{ACTION_attacks},codex.csv,182,1,1,"When a creature {ACTION_attacks}, it deals damage to the target based on the attacker's {STAT_attack} and the defender's {STAT_defense}.\n\nAttacks can also deal critical damage. The chance for this to happen, as well as the amount of critical damage dealt, is based on the attacker's {STAT_speed} compared to that of the defender.\n\nAttacks can be dodged as well. Much like critical damage, the chance for a creature to dodge is based on the difference between the attacker's {STAT_speed} and that of the defender.","Wenn eine Kreatur {ACTION_attacks}, fügt sie dem Ziel Schaden zu, der auf dem {STAT_attack} des Angreifers und der {STAT_defense} des Verteidigers basiert.\n\nAngriffe können auch kritischen Schaden verursachen. Die Chance dafür sowie die Höhe des kritischen Schadens basieren auf dem Vergleich des {STAT_speed} des Angreifers mit dem des Verteidigers.\n\nAngriffe können auch ausgewichen werden. Ähnlich wie beim kritischen Schaden basiert die Chance für eine Kreatur auszuweichen auf dem Unterschied zwischen dem {STAT_speed} des Angreifers und dem des Verteidigers."
{ACTION_casts},codex.csv,183,1,1,"When a creature {ACTION_casts} a spell, the potency of the spell is based on the caster's {STAT_intelligence}.\n\nIf the spell deals damage, the amount of damage is mitigated by the defender's {STAT_defense}.","Wenn eine Kreatur einen Zauber {ACTION_casts}, basiert die Stärke des Zaubers auf der {STAT_intelligence} des Zauberwirkers.\n\nWenn der Zauber Schaden verursacht, wird die Schadenshöhe durch die {STAT_defense} des Verteidigers gemindert."
{ACTION_defending},codex.csv,184,1,1,"While a creature is {ACTION_defending}, it takes 35% less damage and has 50% more {STAT_defense}.","Während eine Kreatur {ACTION_defending} ist, erleidet sie 35% weniger Schaden und hat 50% mehr {STAT_defense}."
{ACTION_provoking},codex.csv,185,1,1,"While a creature is {ACTION_provoking}, it has a 100% chance to be targeted by enemies' attacks and spells. In addition, it has 35% less {STAT_defense}.","Während eine Kreatur {ACTION_provoking} ist, besteht eine 100% Chance, dass sie von Angriffen und Zaubern der Feinde anvisiert wird. Zusätzlich hat sie 35% weniger {STAT_defense}."
{ACTION_defend},codex.csv,310,1,1,Creature has a chance to {ACTION_defend} after it casts the spell.,"Kreatur hat eine Chance zu {ACTION_defend}, nachdem sie den Zauber gewirkt hat."
{ACTION_provoke},codex.csv,311,1,1,Creature has a chance to {ACTION_provoke} after it casts the spell.,"Kreatur hat eine Chance zu {ACTION_provoke}, nachdem sie den Zauber gewirkt hat."
{ACTION_attack},codex.csv,312,1,1,Creature has a chance to {ACTION_attack} a random enemy after it casts the spell.,"Kreatur hat eine Chance, einen zufälligen Gegner zu {ACTION_attack}, nachdem sie den Zauber gewirkt hat."
{ACTION_attacks},codex.csv,319,1,1,Creature has a chance to cast the spell after it {ACTION_attacks}.,"Kreatur hat eine Chance, den Zauber zu wirken, nachdem sie {ACTION_attacks}."
{ACTION_defends},codex.csv,320,1,1,Creature has a chance to cast the spell after it {ACTION_defends}.,"Kreatur hat eine Chance, den Zauber zu wirken, nachdem sie {ACTION_defends}."
{ACTION_provokes},codex.csv,321,1,1,Creature has a chance to cast the spell after it {ACTION_provokes}.,"Kreatur hat eine Chance, den Zauber zu wirken, nachdem sie {ACTION_provokes}."
{ACTION_attack},perks.csv,3,1,1,"After your creatures dodge, they {ACTION_attack} the enemy.","Nachdem deine Kreaturen ausweichen, {ACTION_attack} sie den Feind."
{ACTION_attacked},perks.csv,15,1,1,"After your creatures dodge, they gain <1>% {STAT_defense} for each time they've {ACTION_attacked} with [nature_monk_kaze] Celerity in the current battle.","Nachdem deine Kreaturen ausweichen, erhalten sie <1>% {STAT_defense} für jedes Mal, wenn sie im aktuellen Kampf mit [nature_monk_kaze] Schnelligkeit {ACTION_attacked} haben."
{ACTION_attack},perks.csv,17,2,2,"After your creatures {ACTION_attack} with [nature_monk_kaze] Celerity, they have a <2.5>% chance to {ACTION_attack} an additional time. This effect can occur repeatedly until it fails.","Nachdem deine Kreaturen mit [nature_monk_kaze] Behändigkeit {ACTION_attack}, haben sie eine <2.5>%-Chance, ein weiteres Mal {ACTION_attack}. Dieser Effekt kann wiederholt auftreten, bis er fehlschlägt."
{ACTION_defending},perks.csv,19,1,1,"While your creatures are {ACTION_defending}, they receive a bonus to their {STAT_speed} instead of {STAT_defense}.","Während deine Kreaturen {ACTION_defending} sind, erhalten sie einen Bonus auf ihre {STAT_speed} anstatt auf {STAT_defense}."
{ACTION_attack},perks.csv,21,1,1,"When your creatures {ACTION_attack}, with [nature_monk_kaze]Celerity, they have a <2>% chance to deal 100% more damage.","Wenn deine Kreaturen {ACTION_attack} mit [nature_monk_kaze]Schnelligkeit haben sie eine <2>% Chance, 100% mehr Schaden zu verursachen."
{ACTION_attack},perks.csv,23,1,1,"After your creatures {ACTION_attack} with [nature_monk_kaze]Celerity, they have a <1>% chance to move to the top of the {TIMELINE}.","Nachdem deine Kreaturen mit [nature_monk_kaze]Behändigkeit {ACTION_attack}, haben sie eine <1>% Chance, an die Spitze der {TIMELINE} zu gelangen."
{ACTION_attack},perks.csv,25,1,1,"After an enemy dodges your creatures' attacks, your creatures have a <3>% chance to {ACTION_attack} again.","Nachdem ein Feind den Angriffen deiner Kreaturen ausweicht, haben deine Kreaturen eine <3>% Chance, erneut zu {ACTION_attack}."
{ACTION_cast},perks.csv,67,1,1,"At random times during your creatures' turns, they have a chance to {ACTION_cast} one of their [temporary] Ethereal Spell Gems.","Zu zufälligen Zeitpunkten während der Züge deiner Kreaturen haben sie eine Chance, einen ihrer [temporary] Ätherischen Zaubersteine zu {ACTION_cast}."
{ACTION_attack},perks.csv,85,1,1,"When your creatures {ACTION_attack}, and their attack would fail to deal critical damage, the critical chance is re-rolled one additional time.","Wenn deine Kreaturen {ACTION_attack} und ihr Angriff keinen kritischen Schaden verursachen würde, wird die kritische Chance ein zusätzliches Mal neu gewürfelt."
{ACTION_attack},perks.csv,87,1,1,"When your creatures {ACTION_attack} while the target is afflicted with {CONDNAME_DEBUFF_DISARMED}, the target's Artifact's [slot_stat] Stat Slots are applied to your creature for all effects that relate to that attack.\n\n{CONDDESC_DEBUFF_DISARMED}","Wenn deine Kreaturen {ACTION_attack}, während das Ziel von {CONDNAME_DEBUFF_DISARMED} betroffen ist, werden die [slot_stat] Attribut-Slots des Artefakts des Ziels für alle Effekte, die mit diesem Angriff zusammenhängen, auf deine Kreatur angewendet.\n\n{CONDDESC_DEBUFF_DISARMED}"
{ACTION_attack},perks.csv,93,1,1,Your creatures {ACTION_attack} 1 additional time.,Deine Kreaturen {ACTION_attack} 1 zusätzliches Mal.
{ACTION_attack},perks.csv,107,1,1,"After your creatures {ACTION_attack}, they have a <1>% chance to afflict the target with a random debuff.","Nachdem deine Kreaturen {ACTION_attack}, haben sie eine <1>%-Chance, das Ziel mit einem zufälligen Debuff zu belegen."
{ACTION_provoke},perks.csv,121,1,1,Enemies cannot {ACTION_provoke}.,Feinde können nicht {ACTION_provoke}.
{ACTION_attack},perks.csv,123,1,1,"After your creatures {ACTION_attack}, and the attack fails to deal critical damage, their chance to deal critical damage with attacks is doubled on their next turn. This effect stacks multiple times in a row until the creature deals critical damage with attacks.","Nachdem deine Kreaturen {ACTION_attack} und der Angriff keinen kritischen Schaden verursacht, verdoppelt sich ihre Chance, bei ihrem nächsten Zug kritischen Schaden mit Angriffen zu verursachen. Dieser Effekt ist mehrfach hintereinander kumulativ, bis die Kreatur kritischen Schaden mit Angriffen verursacht."
{ACTION_attacked},perks.csv,125,2,2,"After your creatures are {ACTION_attacked}, and they fail to dodge the attack, their chance to dodge attacks is doubled the next time they're {ACTION_attacked}. This effect stacks multiple times in a row until they successfully dodge an attack.","Nachdem deine Kreaturen {ACTION_attacked} wurden und es ihnen nicht gelungen ist, dem Angriff auszuweichen, verdoppelt sich ihre Chance, Angriffen auszuweichen, wenn sie das nächste Mal {ACTION_attacked} werden. Dieser Effekt ist mehrfach hintereinander kumulativ, bis sie erfolgreich einem Angriff ausweichen."
{ACTION_attack},perks.csv,127,1,1,Your creatures have a <1>% chance to {ACTION_attack} an additional time. This effect can occur repeatedly until it fails.,"Deine Kreaturen haben eine <1>% Chance, ein zusätzliches Mal zu {ACTION_attack}. Dieser Effekt kann wiederholt auftreten, bis er fehlschlägt."
{ACTION_attack},perks.csv,141,1,1,Your creatures {ACTION_attack} and {ACTION_cast} an additional time for every 2 turns they've taken in battle.,"Deine Kreaturen {ACTION_attack} und {ACTION_cast} ein zusätzliches Mal für alle 2 Züge, die sie im Kampf gemacht haben."
{ACTION_cast},perks.csv,141,1,1,Your creatures {ACTION_attack} and {ACTION_cast} an additional time for every 2 turns they've taken in battle.,"Deine Kreaturen {ACTION_attack} und {ACTION_cast} ein zusätzliches Mal für alle 2 Züge, die sie im Kampf gemacht haben."
{ACTION_cast},perks.csv,145,1,1,"After your creatures take 3 turns, they can {ACTION_cast} spells without consuming any {STAT_charges} for the rest of the battle.","Nachdem deine Kreaturen 3 Runden lang agiert haben, können sie für den Rest des Kampfes {ACTION_cast} Zauber wirken, ohne {STAT_charges} zu verbrauchen."
{ACTION_casts},perks.csv,169,1,1,"After an enemy {ACTION_casts} a spell, they have <4>% chance to be afflicted with {CONDNAME_DEBUFF_SILENCE}.\n\n{CONDDESC_DEBUFF_SILENCE}","Nach dem {ACTION_casts} eines Zaubers durch einen Gegner besteht eine <4>%-Chance, dass dieser mit {CONDNAME_DEBUFF_SILENCE} belegt wird.\n\n{CONDDESC_DEBUFF_SILENCE}"
{ACTION_casts},perks.csv,171,1,1,"After an enemy {ACTION_casts} a spell, that Spell Gem is Sealed.","Nachdem ein Feind einen Zauber {ACTION_casts}, wird dieser Zauberstein Versiegelt."
{ACTION_provoking},perks.csv,253,1,1,Your creatures have <3>% more {STAT_defense} while they're {ACTION_provoking}.,"Deine Kreaturen haben <3>% mehr {STAT_defense}, während sie {ACTION_provoking}."
{ACTION_provoke},perks.csv,255,1,1,"After your creatures {ACTION_provoke}, they recover <2>% {STAT_health}.","Nachdem deine Kreaturen {ACTION_provoke}, regenerieren sie <2>% {STAT_health}."
{ACTION_provoking},perks.csv,257,1,1,Your creatures take <2.5>% less damage while they're {ACTION_provoking}.,"Deine Kreaturen erleiden <2.5>% weniger Schaden, während sie {ACTION_provoking}."
{ACTION_defend},perks.csv,259,1,1,"After your creatures {ACTION_provoke}, they {ACTION_defend}.","Nachdem deine Kreaturen {ACTION_provoke}, {ACTION_defend} sie."
{ACTION_provoke},perks.csv,259,1,1,"After your creatures {ACTION_provoke}, they {ACTION_defend}.","Nachdem deine Kreaturen {ACTION_provoke}, {ACTION_defend} sie."
{ACTION_provoking},perks.csv,263,1,1,"When your creatures deal damage with [life_paladin_retribution]Retribution while they're {ACTION_provoking}, the amount of damage is increased by <2>%.","Wenn deine Kreaturen Schaden mit [life_paladin_retribution]Vergeltung verursachen, während sie {ACTION_provoking} sind, wird die Schadensmenge um <2>% erhöht."
{ACTION_defending},perks.csv,265,1,1,"When your creatures deal damage with [life_paladin_retribution]Retribution while they're {ACTION_defending}, the amount of damage is increased by <2>%.","Wenn deine Kreaturen Schaden mit [life_paladin_retribution]Vergeltung verursachen, während sie {ACTION_defending} sind, wird die Schadensmenge um <2>% erhöht."
{ACTION_attack},perks.csv,281,1,1,"After your creatures {ACTION_provoke}, they {ACTION_attack} a random enemy.","Nachdem deine Kreaturen {ACTION_provoke}, {ACTION_attack} sie einen zufälligen Gegner."
{ACTION_provoke},perks.csv,281,1,1,"After your creatures {ACTION_provoke}, they {ACTION_attack} a random enemy.","Nachdem deine Kreaturen {ACTION_provoke}, {ACTION_attack} sie einen zufälligen Gegner."
{ACTION_attack},perks.csv,305,1,1,Your creatures have a 10% chance to {ACTION_attack} an additional time for each creature missing from your group. This effect can occur repeatedly until it fails.,"Deine Kreaturen haben eine 10% Chance, für jede fehlende Kreatur in deiner Gruppe ein zusätzliches Mal zu {ACTION_attack}. Dieser Effekt kann wiederholt auftreten, bis er fehlschlägt."
{ACTION_cast},perks.csv,307,1,1,Your creatures have a 10% chance to {ACTION_cast} spells an additional time for each creature missing from your group. This effect can occur repeatedly until it fails.,"Deine Kreaturen haben eine 10% Chance, Zauber für jede fehlende Kreatur in deiner Gruppe ein zusätzliches Mal zu {ACTION_cast}. Dieser Effekt kann wiederholt auftreten, bis er fehlschlägt."
{ACTION_attacks},perks.csv,365,1,1,"After an enemy {ACTION_attacks}, they have a <4>% chance to be afflicted with {CONDNAME_DEBUFF_SCORN}.\n\n{CONDDESC_DEBUFF_SCORN}","Nach einem {ACTION_attacks} eines Gegners besteht eine <4>%-Chance, dass er mit {CONDNAME_DEBUFF_SCORN} belegt wird.\n\n{CONDDESC_DEBUFF_SCORN}"
{ACTION_casts},perks.csv,367,1,1,"After an enemy {ACTION_casts} a spell, they have a <4>% chance to be afflicted with {CONDNAME_DEBUFF_SILENCE}.\n\n{CONDDESC_DEBUFF_SILENCE}","Nach dem {ACTION_casts} eines Zaubers hat ein Gegner eine <4>%-Chance, mit {CONDNAME_DEBUFF_SILENCE} belegt zu werden.\n\n{CONDDESC_DEBUFF_SILENCE}"
{ACTION_attack},perks.csv,383,1,1,"After your creatures {ACTION_attack}, they have a <2>% chance to cast one of their [temporary] Ethereal Spell Gems.","Nachdem deine Kreaturen {ACTION_attack}, haben sie eine <2>% Chance, einen ihrer [temporary] Ätherischen Zaubersteine zu wirken."
{ACTION_defend},perks.csv,389,1,1,"After your creatures {ACTION_defend} or {ACTION_provoke}, they cast one of their [temporary]Ethereal Spell Gems.","Nachdem deine Kreaturen {ACTION_defend} oder {ACTION_provoke}, wirken sie einen ihrer [temporary]Ätherischen Zaubersteine."
{ACTION_provoke},perks.csv,389,1,1,"After your creatures {ACTION_defend} or {ACTION_provoke}, they cast one of their [temporary]Ethereal Spell Gems.","Nachdem deine Kreaturen {ACTION_defend} oder {ACTION_provoke}, wirken sie einen ihrer [temporary]Ätherischen Zaubersteine."
{ACTION_cast},perks.csv,401,1,1,Your creatures have a <1>% chance to {ACTION_cast} spells an additional time. This effect can occur repeatedly until it fails.,"Deine Kreaturen haben eine <1>% Chance, Zauber ein zusätzliches Mal zu {ACTION_cast}. Dieser Effekt kann wiederholt auftreten, bis er fehlschlägt."
{ACTION_cast},perks.csv,403,1,1,Your creatures' spells that are {ACTION_cast} in the same turn deal <1>% more damage than the last.,"Zauber deiner Kreaturen, die im selben Zug {ACTION_cast} werden, verursachen <1>% mehr Schaden als der letzte."
{ACTION_cast},perks.csv,405,1,1,Your creatures {ACTION_cast} spells 1 additional time.,Deine Kreaturen {ACTION_cast} Zauber 1 zusätzliches Mal.
{ACTION_cast},perks.csv,451,1,1,"After your creatures {ACTION_cast} a spell, they summon {CONDNAME_MINION_CONQUEST}.\n\n{CONDDESC_MINION_CONQUEST}","Nachdem deine Kreaturen einen Zauber {ACTION_cast}, beschwören sie {CONDNAME_MINION_CONQUEST}.\n\n{CONDDESC_MINION_CONQUEST}"
{ACTION_attack},perks.csv,453,1,1,"After your creatures {ACTION_attack}, they summon {CONDNAME_MINION_FAMINE}.\n\n{CONDDESC_MINION_FAMINE}","Nachdem deine Kreaturen {ACTION_attack}, beschwören sie {CONDNAME_MINION_FAMINE}.\n\n{CONDDESC_MINION_FAMINE}"
{ACTION_cast},perks.csv,459,1,1,"If your creatures have {CONDNAME_MINION_CONQUEST}, {CONDNAME_MINION_FAMINE}, {CONDNAME_MINION_DEATH}, and {CONDNAME_MINION_WAR}, they {ACTION_cast} [icons,1968]Apocalypse at the start of their turns. Your creatures are healed by this spell.","Wenn deine Kreaturen {CONDNAME_MINION_CONQUEST}, {CONDNAME_MINION_FAMINE}, {CONDNAME_MINION_DEATH} und {CONDNAME_MINION_WAR} haben, {ACTION_cast} sie zu Beginn ihrer Züge [icons,1968]Apokalypse. Deine Kreaturen werden durch diesen Zauber geheilt."
{ACTION_cast},perks.csv,465,1,1,"Your creatures' spells no longer consume {STAT_charges}. Before your creatures {ACTION_cast} a spell, they deal damage to themselves equal to 25% of their Maximum {STAT_health}.","Deine Kreaturen verbrauchen keine {STAT_charges} mehr für Zauber. Bevor deine Kreaturen einen Zauber {ACTION_cast}, fügen sie sich selbst Schaden in Höhe von 25% ihrer maximalen {STAT_health} zu."
{ACTION_attack},perks.csv,479,1,1,Your creatures {ACTION_attack} and {ACTION_cast} spells 1 additional time for every 20% {STAT_health} they're missing.,"Deine Kreaturen {ACTION_attack} und {ACTION_cast} Zauber 1 zusätzliches Mal für jeweils 20% {STAT_health}, die ihnen fehlen."
{ACTION_cast},perks.csv,479,1,1,Your creatures {ACTION_attack} and {ACTION_cast} spells 1 additional time for every 20% {STAT_health} they're missing.,"Deine Kreaturen {ACTION_attack} und {ACTION_cast} Zauber 1 zusätzliches Mal für jeweils 20% {STAT_health}, die ihnen fehlen."
{ACTION_cast},perks.csv,503,1,1,"After an enemy takes damage from {CONDNAME_DEBUFF_BURNED}, each of your creatures have a <2>% chance to {ACTION_cast} a Scourge spell on an enemy. The type of Scourge spell is based on the enemy's class.","Nachdem ein Feind Schaden durch {CONDNAME_DEBUFF_BURNED} erleidet, hat jede deiner Kreaturen eine <2>% Chance, einen Geißel-Zauber auf einen Feind zu {ACTION_cast}. Die Art des Geißel-Zaubers basiert auf der Klasse des Feindes."
{ACTION_attack},perks.csv,527,1,1,Your <1>  creature(s) with the highest {STAT_attack} always {ACTION_attack} at the end of their turn.,Deine <1> Kreatur(en) mit dem höchsten {STAT_attack} {ACTION_attack} immer am Ende ihres Zuges.
{ACTION_cast},perks.csv,529,1,1,Your <1>  creature(s) with the highest {STAT_intelligence} always {ACTION_cast} their top-most Spell Gem that has at least 1 {STAT_charge} and isn't Sealed at the end of their turn.,"Deine <1> Kreatur(en) mit der höchsten {STAT_intelligence} {ACTION_cast} immer ihren obersten Zauberstein, der mindestens 1 {STAT_charge} hat und nicht Versiegelt ist, am Ende ihres Zuges."
{ACTION_cast},perks.csv,531,1,1,Your <1>  creature(s) with the highest {STAT_intelligence} don't consume {STAT_charges} when they {ACTION_cast} spells.,"Deine <1> Kreatur(en) mit der höchsten {STAT_intelligence} verbrauchen keine {STAT_charges}, wenn sie Zauber {ACTION_cast}."
{ACTION_defend},perks.csv,535,1,1,"If your creatures have at least 3 debuffs, they {ACTION_defend} at the end of their turn.","Wenn deine Kreaturen mindestens 3 Debuffs haben, {ACTION_defend} sie am Ende ihres Zuges."
{ACTION_provokes},perks.csv,537,1,1,Your creature with the highest {STAT_defense} always {ACTION_provokes} at the end of its turn.,Deine Kreatur mit dem höchsten {STAT_defense} {ACTION_provokes} immer am Ende ihres Zuges.
{ACTION_attacks},perks.csv,539,1,1,Your creature with the highest {STAT_speed} always {ACTION_attacks} enemies that deal damage to it.,"Deine Kreatur mit dem höchsten {STAT_speed} {ACTION_attacks} immer Feinde, die ihr Schaden zufügen."
{ACTION_cast},perks.csv,567,1,1,"Your creatures deal <1>% more damage with attacks for each time your creatures {ACTION_cast} [icons,1968]Rune of Cor in the current battle.","Deine Kreaturen verursachen <1>% mehr Schaden mit Angriffen für jedes Mal, wenn deine Kreaturen {ACTION_cast} [icons,1968]Rune von Cor im aktuellen Kampf."
{ACTION_cast},perks.csv,569,1,1,"Your creatures deal <1>% more damage with spells for each time your creatures {ACTION_cast} [icons,1980]Rune of Sah in the current battle.","Deine Kreaturen verursachen <1>% mehr Schaden mit Zaubern für jedes Mal, wenn deine Kreaturen {ACTION_cast} [icons,1980]Rune von Sah im aktuellen Kampf."
{ACTION_cast},perks.csv,571,1,1,"Your creatures have an independent <1>% chance to dodge and deal critical damage for each time your creatures {ACTION_cast} [icons,1976]Rune of Nax in the current battle.","Deine Kreaturen haben eine unabhängige <1>% Chance, auszuweichen und kritischen Schaden zu verursachen, für jedes Mal, wenn deine Kreaturen {ACTION_cast} [icons,1976]Rune von Nax im aktuellen Kampf."
{ACTION_cast},perks.csv,573,1,1,"Your creatures take <1>% less damage for each time your creatures {ACTION_cast} [icons,1972]Rune of Lua in the current battle.","Deine Kreaturen erleiden <1>% weniger Schaden für jedes Mal, wenn deine Kreaturen {ACTION_cast} [icons,1972]Rune von Lua im aktuellen Kampf."
{ACTION_cast},perks.csv,575,1,1,"Your creatures gain and reduce stats <1>% more for each time your creatures {ACTION_cast} [icons,1984]Rune of Dun in the current battle.","Deine Kreaturen erhalten und verlieren <1>% mehr Attribute für jedes Mal, wenn deine Kreaturen {ACTION_cast} [icons,1984]Rune von Dun im aktuellen Kampf."
{ACTION_cast},perks.csv,577,1,1,Your creatures {ACTION_cast} their Rune spells <1>  additional time(s).,Deine Kreaturen {ACTION_cast} ihre Runen-Zauber <1> zusätzliche(s) Mal.
{ACTION_cast},perks.csv,579,1,1,"If your creatures have {ACTION_cast} each Rune spell at least once in the current battle, they activate your creatures' on-attack effects 1 additional time.","Wenn deine Kreaturen jeden Runen-Zauber im aktuellen Kampf mindestens einmal {ACTION_cast} haben, aktivieren sie die Angriffs-Effekte deiner Kreaturen 1 zusätzliches Mal."
{ACTION_cast},perks.csv,583,1,1,Your creatures' Rune spells have a <1>% chance to target all enemies for each time your creatures {ACTION_cast} a Rune spell in the current battle.,"Deine Kreaturen-Runenzauber haben eine <1>%-Chance, alle Feinde anzuvisieren, für jedes Mal, wenn deine Kreaturen in der aktuellen Schlacht einen Runenzauber {ACTION_cast}."
{ACTION_attack},perks.csv,591,1,1,Your dead creatures {ACTION_attack} a random enemy for <10>% additional damage every 3 turns.,Deine toten Kreaturen {ACTION_attack} alle 3 Runden einen zufälligen Gegner für <10>% zusätzlichen Schaden.
{ACTION_cast},perks.csv,593,1,1,Your dead creatures {ACTION_cast} one of their spells with <10>% more potency every 5 turns.,Deine toten Kreaturen {ACTION_cast} einen ihrer Zauber mit <10>% mehr Zaubermacht alle 5 Runden.
{ACTION_attack},perks.csv,599,1,1,Your creatures {ACTION_attack} 1 additional time for each dead creature on your side.,Deine Kreaturen {ACTION_attack} 1 zusätzliches Mal für jede tote Kreatur auf deiner Seite.
{ACTION_cast},perks.csv,601,1,1,Your creatures {ACTION_cast} spells 1 additional time for each dead creature on your side.,Deine Kreaturen {ACTION_cast} Zauber 1 zusätzliches Mal für jede tote Kreatur auf deiner Seite.
