file,line,english,german,english_tokens,german_tokens
achievements.csv,9500,Empowering 5740-NG I,{RELIC_ROBO} verstärken I,{},{'{RELIC_ROBO}': 1}
achievements.csv,9502,Empowering 5740-NG II,{RELIC_ROBO} verstärken II,{},{'{RELIC_ROBO}': 1}
achievements.csv,9504,Empowering 5740-NG III,{RELIC_ROBO} verstärken III,{},{'{RELIC_ROBO}': 1}
achievements.csv,9506,Empowering 5740-NG IV,{RELIC_ROBO} verstärken IV,{},{'{RELIC_ROBO}': 1}
achievements.csv,9508,Empowering 5740-NG V,{RELIC_ROBO} verstärken V,{},{'{RELIC_ROBO}': 1}
achievements.csv,9510,Empowering 5740-NG VI,{RELIC_ROBO} verstärken VI,{},{'{RELIC_ROBO}': 1}
achievements.csv,9512,Empowering 5740-NG VII,{RELIC_ROBO} verstärken VII,{},{'{RELIC_ROBO}': 1}
achievements.csv,9514,Empowering 5740-NG VIII,{RELIC_ROBO} verstärken VIII,{},{'{RELIC_ROBO}': 1}
achievements.csv,9516,Empowering 5740-NG IX,{RELIC_ROBO} verstärken IX,{},{'{RELIC_ROBO}': 1}
achievements.csv,9518,Empowering 5740-NG X,{RELIC_ROBO} verstärken X,{},{'{RELIC_ROBO}': 1}
traits.csv,1183,Enemies always have {CONDNAME_DEBUFF_SCORN}. This debuff switches back and forth with {CONDNAME_DEBUFF_SILENCE} at the start of this creature's turn.,Feinde haben immer {CONDNAME_DEBUFF_SCORN}. Dieser Debuff wechselt zu Beginn des Zuges dieser Kreatur zwischen {CONDNAME_DEBUFF_SCORN} und {CONDNAME_DEBUFF_SILENCE}.,"{'{CONDNAME_DEBUFF_SCORN}': 1, '{CONDNAME_DEBUFF_SILENCE}': 1}","{'{CONDNAME_DEBUFF_SCORN}': 2, '{CONDNAME_DEBUFF_SILENCE}': 1}"
traits.csv,2716,Enemies always have {CONDNAME_DEBUFF_SCORN}. This debuff switches back and forth with {CONDNAME_DEBUFF_SILENCE} at the start of this creature's turn. Enemies can only {ACTION_attack} and {ACTION_cast} spells 1 time per turn.,Feinde haben immer {CONDNAME_DEBUFF_SCORN}. Dieser Debuff wechselt zu Beginn des Zuges dieser Kreatur zwischen {CONDNAME_DEBUFF_SCORN} und {CONDNAME_DEBUFF_SILENCE}. Feinde können pro Zug nur 1 Mal {ACTION_attack} und nur 1 Mal einen Zauber {ACTION_cast}.,"{'{CONDNAME_DEBUFF_SCORN}': 1, '{CONDNAME_DEBUFF_SILENCE}': 1, '{ACTION_attack}': 1, '{ACTION_cast}': 1}","{'{CONDNAME_DEBUFF_SCORN}': 2, '{CONDNAME_DEBUFF_SILENCE}': 1, '{ACTION_attack}': 1, '{ACTION_cast}': 1}"
ui.csv,654,[[Macro Editor],Makro-Editor,{'[Macro Editor]': 1},{}
