row,tag,english,german
420,L_CRIT_DESTRUCTIONBANSHEE,Destruction Banshee,Zerstörungs-Banshee
578,L_CRIT_REVENANTCABALIST,Revenant Cabalist,Wiedergänger-Kabalist
579,L_CRIT_REVENANTCAPTAIN,Revenant Captain,Hauptmann der Wiedergänger
580,L_CRIT_REVENANTHORROR,Revenant Horror,Wiedergänger-Schrecken
581,L_CRIT_REVENANTKING,Revenant King,Wiedergänger-König
582,L_CRIT_REVENANTSEALORD,Revenant Sealord,Wiedergänger-Siegelherr
583,L_CRIT_REVENANTSOLDIER,Revenant Soldier,Wiedergänger-Soldat
655,L_CRIT_GRAVEBANEWIGHT,Gravebane Wight,Grabfluch-Wicht
656,L_CRIT_RECLUSIVEWIGHT,Reclusive Wight,Zurückgezogener Wiedergänger
657,L_CRIT_ROOFSTALKERWIGHT,Roofstalker Wight,Dachschleicher-Wiedergänger
658,L_CRIT_DREADWIGHT,Dread Wight,Schrecklicher Wiedergänger
659,L_CRIT_TREPIDATIONWIGHT,Trepidation Wight,Angst-Wicht
679,L_CRIT_DRAGONLAIRARACHNALISK,Dragonlair Arachnalisk,Drachenhöhlen-Arachnalisk
683,L_CRIT_ELEMENTALFAMILIAR,Elemental Familiar,Elementarer Vertrauter
684,L_CRIT_ARCANEFAMILIAR,Arcane Familiar,Arkaner Vertrauter
686,L_CRIT_JUDGEFAMILIAR,Judge Familiar,Richter-Vertrauter
687,L_CRIT_MYSTICALFAMILIAR,Mystical Familiar,Mystischer Vertrauter
688,L_CRIT_PALACEFAMILIAR,Palace Familiar,Palastvertrauter
788,L_CRIT_VENGEFULDJINN,Vengeful Djinn,Rachsüchtiger Dschinn
791,L_CRIT_FLAMETONGUEEFREET,Flametongue Efreet,Flammenzungen-Ifrit
796,L_CRIT_FROSTBITEWIGHT,Frostbite Wight,Frostbiss-Wiedergänger
823,L_CRIT_REVENANTDAGON,Revenant Dagon,Wiedergänger Dagon
824,L_CRIT_TORMENTEDBANSHEE,Tormented Banshee,Gequälte Banshee
833,L_CRIT_SPECTRALFAMILIAR,Spectral Familiar,Spektraler Vertrauter
835,L_CRIT_STATICCLUTCHER,Static Clutcher,Statischer Greifer
837,L_CRIT_SUBAQUEOUSDRAGON,Subaqueous Dragon,Unterwasserdrache
841,L_CRIT_UNCHAINEDDJINN,Unchained Djinn,Entfesselte Dschinn
846,L_CRIT_WHIPTAILCLUTCHER,Whiptail Clutcher,Peitschenschwanz-Greifer
921,L_CRIT_HEADLESSWIGHT,Headless Wight,Kopfloser Wicht
938,L_CRIT_GIFTMIMIC,Gift Mimic,Geschenk-Mimik
943,L_CRIT_ASCENDANTREVENANT,Ascendant Revenant,Aufgestiegener Wiedergänger
944,L_CRIT_FORTUNEDRAGON,Fortune Dragon,Glücksdrache
1023,L_CRIT_OOZINGLEECH,Oozing Leech,Triefender Blutegel
1025,L_CRIT_LEECHDEVOURER,Leech Devourer,Blutegel-Verschlinger
1026,L_CRIT_TOXICLEECH,Toxic Leech,Giftblutegel
1145,L_CRIT_PHOBOSBANSHEE,Phobos Banshee,Phobos Banshee
1149,L_CRIT_HOLYWIGHT,Holy Wight,Heiliger Wicht
1152,L_CRIT_DEEPCLUTCHER,Deep Clutcher,Tiefer Greifer
1173,L_CRIT_DRAGONSPIRIT,Dragon Spirit,Drachengeist
1296,L_CRIT_SAPPHIREDRAKE,Sapphire Drake,Saphirdrache
1441,L_CRIT_DRACONICSTRIX,Draconic Strix,Drakonischer Strix
1541,L_CRIT_UNDERDWELLERROTTHIEF,Underdweller Rot-thief,Unterirdischer Fäulnisdieb
1542,L_CRIT_UNDERDWELLERHEXBLADE,Underdweller Hexblade,Unterirdischer Hexenklinge
1543,L_CRIT_UNDERDWELLERMISCHIEFMAKER,Underdweller Mischiefmaker,Unterweltler-Unheilstifter
1544,L_CRIT_UNDERDWELLERRIPPER,Underdweller Ripper,Unterirdischer Schlitzer
1545,L_CRIT_UNDERDWELLERRITESMASTER,Underdweller Ritesmaster,Unterirdischer Ritualmeister
1546,L_CRIT_UNDERDWELLERFEARMONGER,Underdweller Fearmonger,Unterweltler Angstmacher
